Data item No.,Section,Sub-section,Data Item Name,Data Item Description,"Datatype (Indicative only)",National Code,Notes,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? "
NHIC_HEP_79,HCV UK links,,HCV UK Contact Code,Contact method to obtain consent for further blood samples.  References ContactCodes,Nchar(1),,,ContactCode,,,,,
NHIC_HEP_80,HCV UK links,,HCV UK Blood Sample Id,Primary key - system generated field - hidden from the user,Int,,,BloodSampleId,,,,,
NHIC_HEP_81,HCV UK links,,HCV UK Sample Label,A free text label,Nvarchar(25),,,SampleLabel,,,,,
NHIC_HEP_82,HCV UK links,,HCV UK Sample Date,Date sample collected,Datetime,,,SampleDate,,,,,
NHIC_HEP_83,HCV UK links,,HCV UK Blood Sample Type Code,References table BloodSampleTypeCodes in national HCV dataset.,Nchar(1),,,BloodSampleTypeCode,,,,,
NHIC_HEP_84,HCV UK links,,HCV UK Bar Code,Scanned bar code attached to sample container,Nvarchar(20),,,BarCode,,,,,
NHIC_HEP_85,HCV UK links,,HCV UK Date Sent To Biobank,Date blood sample data sent to BioBank.  Empty if information not yet sent/successfully received,Datetime,,,DateSentToBiobank,,,,,
NHIC_HEP_86,Baseline diagnosis,Demographics,InitialOfFirstname,Initial of first or given name,Nchar(1),,,,,,,,
NHIC_HEP_87,Baseline diagnosis,Demographics,SoundexOfFamilyName,Soundex of Family name.  See appendix D for description of Soundex,varchar(4),,,,,,,,
NHIC_HEP_88,Baseline diagnosis,Demographics,DoB,Date of Birth,datetime,,,,,,,,
NHIC_HEP_89,Baseline diagnosis,Demographics,Gender,References table GenderCodes in national HCV dataset.,Nchar(1),,,,,,,,
NHIC_HEP_90,Baseline diagnosis,Demographics,Postcode,"The first or 'Outward' part of the postcode, e.g. S1 or NG17",Nvarchar(4),,,,,,,,
NHIC_HEP_91,Baseline diagnosis,Demographics,CountryOfBirth,Stored as country code.  See Appendix C for full list of countries and codes.  ,Nvarchar(2),,,,,,,,
NHIC_HEP_92,Baseline diagnosis,Demographics,EthnicityCode,Ethnicity stored as 2 digit code.  See appendix B for full list of Ethnicities and codes.  Using 2011 Census codes.,Nchar(2),,,,,,,,
NHIC_HEP_93,Baseline diagnosis,HCV,NHICConsentDate HVC,Date patient signed study consent and entered into cohort,datetime,,,,,,,,
NHIC_HEP_94,Baseline diagnosis,HCV,NHICConsentWithdrawnDate HVC,Date consent withdrawn,Datetime,,,,,,,,
NHIC_HEP_95,Baseline diagnosis,Demographics,NHSNo,NHS No for patients from England and Wales. Only one of NHSNo or CHINo is required,Nchar(10),,,,,,,,
NHIC_HEP_96,Baseline diagnosis,Demographics,CHINo,Community health Index number for patients from Scotland. Only one of NHSNo or CHINo is required,Nchar(10),,,,,,,,
NHIC_HEP_97,Baseline diagnosis,HCV,FirstAttendanceDateHCV,1st attendance in any HCV clinic. Must be recorded for all types of referral approach.  ,datetime,,,,,,,,
NHIC_HEP_98,Baseline diagnosis,HCV,DateOfFirstPostiveHcvTest,Date of first positive HCV test (anti-HCV or HCV RNA),Datetime,,,,,,,,
NHIC_HEP_99,Baseline diagnosis,HCV,ReferralSourceFirstPositiveSample,Referral source of first positive sample. References table SampleReferralSourceCodes in national HCV dataset.,Nvarchar(3),,,,,,,,
NHIC_HEP_100,Baseline diagnosis,HCV,HcvRnaStatus,Infection status. References table HcvRnaStatusCodes in national HCV dataset.,Nvarchar(4),,,,,,,,
NHIC_HEP_101,Baseline diagnosis,,HepatitisGenotype,,Nvarchar(50),,,,,,,,
NHIC_HEP_102,Baseline diagnosis,,GenotypeCode,"Takes values 01-06, 12, 13, 23, etc.  Used for filtering (HepatitisGenotype is not good this as it is free text) References GenotypeCodes",Nchar(2),,,,,,,,
NHIC_HEP_103,Baseline diagnosis,HCV,MotherHcvInfected,Indicates if patient's mother HCV infected (for children) References HcvInfectedCodes,Nchar(1),,,,,,,,
NHIC_HEP_104,Baseline diagnosis,HCV,FatherHcvInfected,Indicates if patient's father HCV infected (for children) References HcvInfectedCodes,Nchar(1),,,,,,,,
NHIC_HEP_105,Baseline diagnosis,HBV,NHICConsentDate HBV,Date patient signed study consent and entered into cohort,datetime,,,,,,,,
NHIC_HEP_106,Baseline diagnosis,HBV,NHICConsentWithdrawnDate HBV,Date consent withdrawn,Datetime,,,,,,,,
NHIC_HEP_107,Baseline diagnosis,HBV,FirstAttendanceDateHBV,1st attendance in any HBV clinic. Must be recorded for all types of referral approach.  ,datetime,,,,,,,,
NHIC_HEP_108,Baseline diagnosis,HBV,DateOfFirstPostiveHBV Test,Date of first positive HBV test (HBsAg),Datetime,,,,,,,,
NHIC_HEP_109,Baseline diagnosis,HBV,HBV eAg/DNA Status,Infection status ,Nvarchar(4),,,,,,,,
NHIC_HEP_110,Baseline diagnosis,Demographics,Born outside the UK,,Y/N,,,,,,,,
NHIC_HEP_111,Baseline diagnosis,Demographics,Resident in UK ,date arrived in UK,date/years,,,,,,,,
NHIC_HEP_112,Risk factors,Infection,ProbableInfectionRouteCode,Probable route of infection. Refers to table InfectionRoutes in national HCV dataset.,nchar(1),,,,,,,,
NHIC_HEP_113,Risk factors,Infection,ProbableInfectionRouteOther,Free text field to capture details if ProbableInfectionRoute = Other is selected,Nvarchar(100),,,,,,,,
NHIC_HEP_114,Risk factors,Infection,YearOfFirstInfection,Estimated year of first infection. ,int,,,,,,,,
NHIC_HEP_115,Risk factors,Infection,DateNotPossibleToEstimate,"Where the date of first infection is not possible to estimate, tick this box",Bit,,,,,,,,
NHIC_HEP_116,Risk factors,Infection,MotherHBvInfected,Indicates if patient's mother HBV infected ,Nchar(1),,,,,,,,
NHIC_HEP_117,Risk factors,Infection,FatherHBVInfected,Indicates if patient's father HBV infected,Nchar(1),,,,,,,,
NHIC_HEP_118,Risk factors,Infection,Siblings HBV infected,indicates if patients siblings HBV infected,,,,,,,,,
NHIC_HEP_119,Risk factors,Infection,partner HBV infected,indicates if patients partner is  HBV infected,,,,,,,,,
NHIC_HEP_120,Risk factors,Infection,HEV probable infection route,,"Options:
unknown, 
aquired outside the UK, 
risk factors",,,,,,,,
NHIC_HEP_121,Physical,,CurrentWeeklyAlcoholIntake,"Current weekly alcohol intake in units, Validation: 0 < current intake < 500",,,,,,,,,
NHIC_HEP_122,Physical,,InjectedInLastSixMonths,,Y/N,,,,,,,,
NHIC_HEP_123,Physical,,CigarettesPerDay,Current cigarette use as no. of cigarettes per day. Validation 0 < cigs per day <=100,,,,,,,,,
NHIC_HEP_124,Comorbidity,,AlcoholUseCode,Alcohol use. References table AlcoholUseCodes in national HCV dataset.,Nchar(1),,,,,,,,
NHIC_HEP_125,Comorbidity,,EverBeenHeavyDrinker,Ever been a heavy drinker (>= 50 units/wk for 6 months or more). Yes/No,Y/N,,,,,,,,
NHIC_HEP_126,Comorbidity,,EverInjectedDrugs,Ever injected drugs. References InjectedDRugCodes + Please Select…,Nchar(1),,,,,,,,
NHIC_HEP_127,Comorbidity,,YearOfFirstInjection,Estimated year of first injection,int,,,,,,,,
NHIC_HEP_128,Comorbidity,,SmokerCode,Cigarette smoking. References table SmokerCodes in national HCV dataset.,Nchar(1),,,,,,,,
NHIC_HEP_129,Comorbidity,,SmokerStartYear,Estimated year first started smoking,int,,,,,,,,
NHIC_HEP_130,Comorbidity,,SmokerEndYear,Estimated year stopped smoking,int,,,,,,,,
NHIC_HEP_131,Comorbidity,,LifetimePackYears,Estimated pack years. A pack year is defined as twenty cigarettes smoked everyday for one year.,Float,,,,,,,,
NHIC_HEP_132,Comorbidity,,CannabisUsage,Cannabis Usage. References table CannabisCodes in national HCV dataset.,nchar(1),,,,,,,,
NHIC_HEP_133,Comorbidity,,CannabisStartYear,Estimated year first started using cannabis,int,,,,,,,,
NHIC_HEP_134,Comorbidity,,OnsRegistered,"Registered with Office of National Statistics. 
Takes the Values
·         Y - Yes
·            - Please Specify",Nchar(1),,,,,,,,
NHIC_HEP_135,Comorbidity,,CurrentWeeklyAlcoholIntake,Current weekly alcohol intake in units. Validation: 0 < current intake < 500,Integer,,,,,,,,
NHIC_HEP_136,Comorbidity,,InjectedInLastSixMonths,Y/N,Nchar(1),,,,,,,,
NHIC_HEP_137,Comorbidity,,CigarettesPerDay,Current cigarette use as no. of cigarettes per day. Validation 0 < cigs per day <=100,Integer,,,,,,,,
NHIC_HEP_138,Comorbidity,,CurrentWeeklyAlcoholIntake,Current weekly alcohol intake in units. Validation: 0 < current intake < 500,Integer,,,,,,,,
NHIC_HEP_140,Comorbidity,,InjectedInLastSixMonths,Y/N,Nchar(1),,,,,,,,
NHIC_HEP_141,Comorbidity,,CigarettesPerDay,Current cigarette use as no. of cigarettes per day,Integer,,,,,,,,
NHIC_HEP_142,Comorbidity,,RenalFailure,Renal failure. Y/N,Nchar(1),,,,,,,,
NHIC_HEP_143,Comorbidity,,DateRenalFailureDiagnosed ,Date of first dialysis,Datetime,,,,,,,,
NHIC_HEP_144,Comorbidity,,Diabetes,Diabetes. Y/N,Nchar(1),,,,,,,,
NHIC_HEP_145,Comorbidity,,DiabetesDiagnosedDate,"If Diabetes = yes, date when diagnosed",Datetime,,,,,,,,
NHIC_HEP_146,Comorbidity,,DiabetesTreatmentCode,"If Diabetes = yes, treatment.  References table DiabetesTreatmentCodes in national HCV dataset.",Nchar(1),,,,,,,,
NHIC_HEP_147,Comorbidity,,Cancer,Cancer. Y/N,Nchar(1),,,,,,,,
NHIC_HEP_148,Comorbidity,,CancerSiteCode,"If Yes to cancer, which site? References table CancerSiteCode in national HCV dataset.",Nchar(1),,,,,,,,
NHIC_HEP_149,Comorbidity,,CancerSiteOther,Other cancer site,Nvarchar(30),,,,,,,,
NHIC_HEP_150,Comorbidity,,DateCancerDiagnosed,"If yes to cancer, year of diagnosis",Datetime,,,,,,,,
NHIC_HEP_151,Comorbidity,,DepressionTreatment,Ever treated for depression (requiring drugs or ???). Y/N,Nchar(1),,,,,,,,
NHIC_HEP_152,Comorbidity,,DateDepressionDiagnosed,Date depression diagnosed if evener treated for depression,Datetime,,,,,,,,
NHIC_HEP_153,Comorbidity,,DepressionAttemptedSuicide,Ever attempted suicide. Y/N,Nchar(1),,,,,,,,
NHIC_HEP_154,Comorbidity,,DepressionHospitalAdmission,Ever admitted to hospital for depression. Y/N,Nchar(1),,,,,,,,
NHIC_HEP_155,Comorbidity,,CoagulationBleedingDisorder,Coagulation/bleeding disorder. Y/N,Y/N,,,,,,,,
NHIC_HEP_156,Comorbidity,,CoagulationBleeding_,"If Y, specify – pick one or more from list into free text field or type if any not in list. See table CoagBleedingDisorderCodes in national HCV dataset for drop down list members.",Nvarchar(100),,,,,,,,
NHIC_HEP_157,Comorbidity,,DisorderDetails,,,,,,,,,,
NHIC_HEP_158,Comorbidity,,DiagnosedCryoglobulinaemia,Diagnosed Cryoglobulinaemia. Y/N + Plesase Select…,Nchar(1),,,,,,,,
NHIC_HEP_159,Comorbidity,,DateCryoglobulinaemiaDiagnosed,Date Cryoglobulinaemia Diagnosed,datetime,,,,,,,,
NHIC_HEP_160,Comorbidity,,PortalHypertensionCode,Records evidence of portal hypertension.  References PortalHypertensionCodes,Nchar(1),,,,,,,,
NHIC_HEP_161,Imaging,Ultrasound,Ultrasound event date,,datetime,,,,,,,,
NHIC_HEP_162,Imaging,Ultrasound,Ultrasound report of liver and/or spleen,,free text,,,,,,,,
NHIC_HEP_163,Imaging,Fibroscan,Fibroscan event date,,datetime,,,,,,,,
NHIC_HEP_164,Imaging,Fibroscan,Fibroscan Stiffness estimated in kPA,,numeric,,,,,,,,
NHIC_HEP_165,Imaging,CT,CT Abdomen/liver event date,,datetime,,,,,,,,
NHIC_HEP_166,Imaging,CT,CT Abdomen/liver,,free text,,,,,,,,
NHIC_HEP_167,Imaging,MRI,MRI Abdomen/liver event date,,datetime,,,,,,,,
NHIC_HEP_168,Imaging,MRI,MRI Abdomen/liver,,free text,,,,,,,,
NHIC_HEP_169,HIV diagnosis,,DiagnosedHivCoinfection,Diagnosed HIV co-infection. References table HivDiagnosisCodes,Nchar(1),,,,,,,,
NHIC_HEP_170,HIV diagnosis,,HIVInfectionDate,"If HIV co-infection = Yes, specify the date of diagnosis",Datetime,,,,,,,,
NHIC_HEP_171,HIV diagnosis,,LastnegativeHIVtest,Date of last negative test,Datetime,,,,,,,,
NHIC_HEP_172,HIV diagnosis,,CD4,CD4 cell count,I,,,,,,,,
NHIC_HEP_173,Liver disease staging,,DateCirrhosisDiagnosed,"If cirrhosis, date diagnosed",Datetime,,,,,,,,
NHIC_HEP_174,Liver disease staging,,CirrhosisDiagnosisMethodCode,"If cirrhosis, mode of diagnosis. References table CirrhosisDiagnosisMethodCodes in national HCV dataset.",Nchar(1),,,,,,,,
NHIC_HEP_175,Liver disease staging,,DateDecompensationDiagnosed,"If present,  date Decompensation diagnosed",datetime,,,,,,,,
NHIC_HEP_176,Liver disease staging,,DecompensationDiagnosisMethodCode,"If present, mode of diagnosis of Decompensation. References table DecompensationDiagnosisMethodCodes in national HCV dataset.",Nchar(1),,,,,,,,
NHIC_HEP_177,Liver disease staging,,DateHCCDiagnosed,"If present, date when Hepatocellular carcinoma diagnosed",datetime,,,,,,,,
NHIC_HEP_178,Liver disease staging,,HCCDiagnosisMethodCode,"If present, how Hepatocellular carcinoma diagnosed. References table  HCCDiagnosisMethodCodes in national HCV dataset.",Nchar(1),,,,,,,,
NHIC_HEP_179,Liver disease staging,,LiverTransplantationDate,Date of Liver transplantation,Datetime,,,,,,,,
NHIC_HEP_180,Liver disease staging,,PreviousLiverBiopsies,Records if patient has had any liver biopsies prior to enrolment.  References table Yes/No,Y/N,,,,,,,,
NHIC_HEP_181,Liver disease staging,,PreviousTreatmentEpisodes,Records if patient has had any past treatment episode(s) with outcome known prior to enrolment.  References table Yes/No,Y/N,,,,,,,,
NHIC_HEP_182,Liver disease staging,,? Childs Pugh Score,calculated from lab tets and clinical examination,,,,,,,,,
NHIC_HEP_183,Liver disease staging,,? Meld score,calculated from lab tests only,,,,,,,,,
NHIC_HEP_184,Nonviral medications,,Date Medication Recorded,Date recorded,Datetim,,,,,,,,
NHIC_HEP_185,Nonviral medications,,Mediciation StudyNumber,References PatientDetails in national HCV dataset.,Nchar(8),,,,,,,,
NHIC_HEP_186,Nonviral medications,,MedicationFamilyCode,Category of medication. References table MedicationFamilyCodes in national HCV dataset.,Nchar(3),,,,,,,,
NHIC_HEP_187,Nonviral medications,,MedicationInUse,References table Yes/No,Y/N,,,,,,,,
NHIC_HEP_188,Death,,DoD,Date of Death,Datetime,,,,,,,,
NHIC_HEP_189,Death,,AgeAtDeath,Age at Death (in years) Calculated by system as DoD - DoB,Int,,,,,,,,
NHIC_HEP_190,Death,,OriginalUnderlyingICD,,Nchar(5),,,,,,,,
NHIC_HEP_191,Death,,HcvOnDeathCert,Record if HCV mentioned on death certificate. Y/N,Nchar(1),,,,,,,,
NHIC_HEP_192,Death,,AlcolholOnDeathCert,Record if Alcohol mentioned on death certificate. Y/N.,Nchar(1),,,,,,,,
NHIC_HEP_193,Death,,DeathHcvRelated,Death is related to HCV. Y/N.,Nchar(1),,,,,,,,
NHIC_HEP_194,Death,,DeathOtherInfo,Used to record additional ICD codes and any other narrative from death cert.,Nvarchar(255),,,,,,,,
NHIC_HEP_195,Death,,HBvOnDeathCert,Record if HCV mentioned on death certificate. Y/N.,Nchar(1),,,,,,,,
NHIC_HEP_196,Death,,AI on death certificate,,Yes/No,,,,,,,,
NHIC_HEP_197,Death,,Liver on Death Certificate,,Yes/No,,,,,,,,
NHIC_HEP_198,Death,,HCC on death certificate,,Yes/No,,,,,,,,
NHIC_HEP_199,Biopsy,,Biopsy StudyNumber,Primary key and Foreign key referencing table PatientDetails,Nchar(8),,,,,,,,
NHIC_HEP_200,Biopsy,,BiopsyDate~,,datetime,,,,,,,,
NHIC_HEP_201,Biopsy,,BiopsyNumber,"1,2,3 etc",Int,,,,,,,,
NHIC_HEP_202,Biopsy,,Local laboratory number~,"This is essential if we want to go back and retrieve the biopsy (and is obviously different from “Biopsy number” but the terminology can be confusing). Different labs may record their lab nos. differently, eg with letters and numbers and slashes (/) so I suspect this will have to be free text",Nvarchar(20),,,,,,,,
NHIC_HEP_203,Biopsy,,Pathologist,Name of pathologist (free text,Nvarchar(20),,,,,,,,
NHIC_HEP_204,Biopsy,,IsNecroinflammatory~,IS necroinflammatory grade: 0-18 inc,int,,,,,,,,
NHIC_HEP_205,Biopsy,,IsFibrosisStage~,IS fibrosis stage: 0-6 inc,int,,,,,,,,
NHIC_HEP_206,Biopsy,,IsInterfaceHepatitis,IS interface hepatitis: 0-4 inc,int,,,,,,,,
NHIC_HEP_207,Biopsy,,IsConfluentNecrosis,IS confluent necrosis 0-6 inc,int,,,,,,,,
NHIC_HEP_208,Biopsy,,IsFocalNecrosis,IS focal necrosis 0-4 inc,Int,,,,,,,,
NHIC_HEP_209,Biopsy,,IsPortalInflammation,IS portal inflammation 0-4 inc,Int,,,,,,,,
NHIC_HEP_210,Biopsy,,SteatosisCode,"Steatosis. References table SteatosisCodes in national HCV dataset. 0=minimal absent (<5% hepatocytes involved), 1=mild (5-33%), 2=moderate (34-66%), 3=severe (>66%) or not known ",Nchar(1),,,,,,,,
NHIC_HEP_211,Biopsy,,Siderosis,Present/absent/not known. References BiopsyFindingsCodes,Present/absent/not known.,,,,,,,,
NHIC_HEP_212,Biopsy,,Steatohepatitis,Present/absent/not known. References BiopsyFindingsCodes,Present/absent/not known.,,,,,,,,
NHIC_HEP_214,Biopsy,,Biopsy Adequate,Biopsy Adequate.,Yes/no/not recorded,,,,,,,,
NHIC_HEP_215,Biopsy,,Biopsy Length,(Numerical value including 1 decimal point),float,,,,,,,,
NHIC_HEP_216,Biopsy,,Biopsy Comments,,Nvarchar(max),,,,,,,,
NHIC_HEP_217,Biopsy,,HBV core Ag staining,,,,,,,,,,
NHIC_HEP_218,Biopsy,,AI features,,,,,,,,,,
NHIC_HEP_219,Visits,,FollowUpId,"Primary key, autonumber field.  Hidden from user.",Int identity,,,,,,,,
NHIC_HEP_220,Visits,,Visit StudyNumber,References table PatientDetails in national HCV dataset.,Nchar(8),,,,,,,,
NHIC_HEP_221,Visits,,FollowUpDate,Date of follow up,Datetime,,,,,,,,
NHIC_HEP_222,Visits,,LastClinicAttendanceDate,Date of last clinic attendance,Datetime,,,,,,,,
NHIC_HEP_223,Visits,,DischargedFromHcvClinic,Has patient been discharged from HCV clinic. Y/N,Nchar(1),,,,,,,,
NHIC_HEP_224,Visits,,DischargeReason,Reason for discharge. References table DischargeReasons in national HCV dataset.,Nchar(1),,,,,,,,
NHIC_HEP_225,Visits,,Notes,Free text notes,Nvarchar(500),,,,,,,,
NHIC_HEP_226,Visits,,DischargedFromLiverClinic,Has patient been discharged from Liver clinic. Y/N,Nchar(1),,,,,,,,
NHIC_HEP_227,Treatment,,Treatment StudyNumber,References PatientDetails in national HCV dataset.,Nchar(8),,,,,,,,
NHIC_HEP_228,Treatment,,TreatmentTypeCode,"Type of treatment (drug). References table TreatmentTypeCodes  in national HCV dataset.. [needs to cover HCV, HBV, AI and post transplant]",Nchar(3),,,,,,,,
NHIC_HEP_229,Treatment,,TreatmentOther,Free text field to record other treatments,Nvarchar(50),,,,,,,,
NHIC_HEP_230,Treatment,,DAACode,"If treatment is PGD + Ribav + DAA, records DAA. References DAACodes.",Nvarchar(5),,,,,,,,
