Data item No.,Section,Sub-section,Data Item Name,Data Item Description,National Code,Data Dictionary Element,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? "
NHIC_ACS_11,CORE,SYMTPOMS,CARDIAC ARREST AT ADMISSION,Indicate if the PERSON had an episode of cardiac arrest evaluated by an Emergency Medical Service or Accident and Emergency and either 1) received external defibrillation attempts (by lay responders or emergency personnel) or chest compressions by organised Emergency Medical Service or Accident and Emergency personnel or 2) were pulseless but did not receive defibrillation attempts or CPR by Emergency Medical Service personnel at the DATE/TIME OF PRESENTATION TO HEALTHCARE PROVIDER,"0 : No
1 : Yes
",,CR0290,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_12,CORE,RISK FACTORS,SMOKING STATUS,The SMOKING STATUS of the PERSON at the time the TOBACCO USE is recorded,"1 : Current smoker
2 : Ex-smoker
3 : Non-smoker - history unknown
4 : Never smoked
z : Not stated (PERSON asked but declined to give a response)
",,CR0320,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_13,CORE,RISK FACTORS,PRIOR HISTORY OF ANGINA,"History of ANGINA before the current DATE/TIME PRESENTATION TO HEALTHCARE PROVIDER. ""Angina"" refers to evidence or knowledge of symptoms before this acute event described as chest pain or pressure, jaw pain, arm pain, or other equivalent discomfort suggestive of cardiac ischaemia. ","0 : No
1 : Yes
",,CR0340,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_14,CORE,RISK FACTORS,PRIOR HISTORY OF MYOCARDIAL INFARCTION,Indicate if the PERSON has had at least one documented previous MYOCARDIAL INFARCTION. Any occurence between birth and DATE/TIME PRESENTATION TO HEALTHCARE PROVIDER.,"0 : No
1 : Yes
",,CR0350,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_15,CORE,RISK FACTORS,PRIOR HISTORY OF PERCUNATENOUS CORONARY INTERVENTION,"Indicate if the PERSON had a previous PCI (even if unsuccesful) of any type (balloon angioplasty, stent, other), performed before the DATE/TIME PRESENTATION TO HEALTHCARE PROVIDER. ","0 : No
1 : Yes
",,CR0380,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_16,CORE,RISK FACTORS,PRIOR HISTORY OF CORONARY ARTERY BYPASS GRAFTING,Indicate it the PERSON had a previous CORONARY ARTERY BYPASS GRAFT before the DATE/TIME OF PRESENTATION TO HEALTHCARE PROVIDER,"0 : No
1 : Yes
",,CR0390,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_17,CORE,RISK FACTORS,PRIOR HISTORY OF INTERMITTENT CLAUDICATION,"Indicate if the PERSON has had symptoms of exertional fatigue, cramping, or aching in thE muscles of the legs that is reproducible and resolves with promptly with rest.","0 : No
1 : Yes
",,CR0410,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_18,CORE,RISK FACTORS,PRIOR HISTORY OF HYPERTENSION,"Indicate if the PERSON has a prior history of HYPERTENSION defined by one of the following: 1. History of hypertension diagnosed and treated with medication, diet and/or exercise 2. Prior documentation of blood pressure ³130mmHg systolic or 80mmHg diastolic on at least two occasions for patients with diabetes or chronic kidney disease 3. Currently undergoing pharmacological therapy for treatment of hypertension","0 : No
1 : Yes
",,CR0420,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_19,CORE,RISK FACTORS,PRIOR HISTORY OF DYSLIPIDAEMIA,Indicate if the PERSON has a prior history of DYSLIPIDAEMIA that was diagnosed and/or treated by a physician and/or currently receiving antilipidaemic treatment,"0 : No
1 : Yes
",,CR0430,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_20,CORE,RISK FACTORS,PRIOR HISTORY OF DIABETES MELLITUS,Indicate if the PERSON has a history of DIABETES diagnosed and/or treated by a HEALTHCARE PROVIDER,"0 : No
1 : Yes
",,CR0440,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_21,CORE,RISK FACTORS,DIABETES TYPE,Indicate TYPE of DIABETES experienced by the PERSON,"1 : Type 1
2 : Type 2
6 : MODY
8 : Other specified
99 : Not specified 
",,CR0450,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_22,CORE,RISK FACTORS,DIABETES CONTROL METHOD,Indicate if the PERSON's DIABETES CONTROL method as of TIME/DATE OF PRESENTATION TO HEALTHCARE PROVIDER,"1 : Insulin treatment (includes any combination with insulin)
2 : Other subcutaenous medications
3 : Oral: treatment with oral agent (includes oral agent with or without diet treatment)
4 : Diet: treatment with diet only
5 : None: no treatment for diabetes
6 : Other: other adjunctive treatment, non0ral/insulin/diet
",,CR0460,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_23,CORE,RISK FACTORS,PRIOR HISTORY OF CEREBROVASCULAR DISEASE,"Indicate if the PERSON has any current or previous history of the following: 1a. Ischaemic stroke (an acute episode of cerebral, spinal, or retinal dysfunction caused by infarction of the central nervous system tissue) 1b. Intracerebral haemorrhage 1c. Subarachnoid haemorrhage 1d. Small vessel occlusion 2. TIA (transient episode of neurological dysfunction caused by focal or global brain, spinal cord, or retinal ischaemia without infarction) 3. Non-invasive or invasive arterial imaging test showing ³50% stenosis of the major extracranial and intracranial vessels to the brain 4. Previous cervical or cerebral artery revascularisation surgery  or percutaenous intervention","1a : Ischaemic stroke
1b : Haemhorrhagic stroke
1c : Subarachnoid haemorrhage
1d : Small vessel occlusion
2 : Transient Ischaemic Attack (TIA)
3 : Non-invasive or invasive arterial imaging test showing ³50% stenosis of the major extracranial and intracranial vessels to the brain 
",,CR0470,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_24,CORE,RISK FACTORS,CURRENT RENAL DIALYSIS,Inidicate if the PERSON is currently being provided with an artificial replacement for lost kidney function (renal replacement therapy) due to lost renal function,"0 : No
1 : Yes
",,CR0480,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_25,CORE,RISK FACTORS,FAMILY HISTORY OF PREMATURE CORONARY ARTERY DISEASE,"Indicate if the PERSON has any direct blood relatives (parents, siblings, or children) who have had any of the following at age <55y for male relatives or <65y for female relatives: 1. Angina 2: Acute MI 3. Sudden cardiac death with no obvious cause 4. CABG 5. PCI","0 : No
1 : Yes
",,CR0490,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_26,CORE,MEDICATION USE,HISTORY OF ASPIRIN USE ON 7 DAYS PRIOR TO ADMISSION,Indicate is the PERSON was taking aspirin routinely at home for the seven days prior to DATE/TIME OF PRESENTATION TO HEALTHCARE PROVIDER,"0 : No
1 : Yes
",,CR0500,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_27,CORE,INVESTIGATION,FIRST ECG RHYTHM,Indicate the first ECG rhythm,"1 : Sinus Rhythm
2 : Atrial fibrillation or flutter
3 : Paced
4 : Other rhythm (e.g. VT, SVT)
",,CR0540,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_28,CORE,INVESTIGATION,FIRST ECG STEMI OR STEMI EQUIVALENT,"Indicate if STEMI or STEMI equivalent was noted on the first ECG (ST-segment elevation/LBBB/isolated inferobasal MI)
If the response is 'Yes' then:
Must satisfy at least one of the following criteria: 1. New ST-segment elevation at the J point in 2 contiguous leads with cutpoints ³0.1mV in all leads other than leads V2 and V3 where the following cutpoints apply: ³0.2mV in men  age ³40y, ³0.2mV in men age <40y or ³0.15mV in women 2. New isolated ST-segment depression ³0.1mV in at least 2 contiguous leads of V1 to V2 with upright T waves 3. New ST-segment elevation ³ in leads V7 to V9 or ³0.1mV in men age <40y (inferobasal [posterior] infarction) 4. New ST-segment elevation ³0.05mV (³0.1mV in  in men age <30y) in leads V3R, V4R (right ventricular infarction) 5. New ST-egment elevation ³0.1mV in lead aVR with concomitant  ST-segment depression ³0.05mV in at least 2 conitguous leads","0 : No
1 : Yes
A  : Inferior leads: II, III, aVF
B  : Anterior Leads: V1 to V6
C  : Lateral leads: I, aVL
D : True posterior (inferobasal): (relevant only for tall wide R waves >40ms in leads V1 and V2). Consideration can be given to recording posterior ST changes, the maximal amount of ST (if applicable), and/or the number of leads with ST
",,CR0550,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_29,CORE,INVESTIGATION,FIRST ECG OTHER ISCHAEMIC CHANGES,Indicate if other ischaemic findings were demonstrated on the ECG.  These may include 1. New or presumed new ST-segment depression 2. New or presumed new T-wave inversion 3. Transient ST-segment elevation lasting <20 min 4. New persistent LBBB 5. None of the above.  Also note the location of the ECG changes which are divided into four categories.,"0 : None of the other changes described were present
1 : New or presumed new ST-segment depression: indicate if there was new or presumed new horizontal or downsloping ST depression ³0.05mV in 2 contiguous  leads and/or T wave inversion ³0.1mV in 2 contiguous leads with prominent R wave or R/S >1. T wave negativity may be normal in leads with predominant negative QRS complexes but are usually abnormal when the QRS complex is upright
2 : New or presumed new T-wave inversion: indicate if there was new or presumed new T-wave inversion of at least 0.1mV in 2 contiguous leads. The T wave usually has the polarity of T-wave vector similar to the QRS vector. Thus, in normal subjects, negative T-waves may be observed where the QRS is negative (e.g. lead aVL with vertical axis). Juvenile T-wave patterns, pectus excavatum, and other conditions may be associated with T-wave inversion that is not ischaemic in origin
3 : Transient ST-segment elevation lasting <20 min: indicate if there was new or presumed new ST-segment elevation at the J point in 2 contiguous leads with the cutpoints ³0.1mV in all leads other than V2 to V3 where the following cutpoints apply: ³0.2mV in men age ³40y, ³0.25mV in men age <40y, or ³0.15mV in women
4 : Indicate if new LBBB was present
A  : Inferior leads: II, III, aVF
B  : Anterior Leads: V1 to V6
C  : Lateral leads: I, aVL
",,CR0560,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_30,CORE,INVESTIGATION,FIRST ECG PRESENCE OF PATHOLOGICAL Q WAVES,Indicate if pathological Q waves are present on the first ECG,"0 : No
1 : Q waves that are ³0.03s in width, in at least 2 contiguous leads, and ³1mm (0.1mV) in depth present on ECG
A  : Inferior leads: II, III, aVF
B  : Anterior Leads: V1 to V6
C  : Lateral leads: I, aVL
",,CR0570,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_31,CORE,INVESTIGATION,WORST ECG RHYTHM,Indicate the worst ECG rhythm within the first 24 hours following DATE/TIME OF FIRST PRESENTATION TO HEALTHCARE PROVIDER,"1 : Sinus Rhythm
2 : Atrial fibrillation or flutter
3 : Paced
4 : Other rhythm (e.g. VT, SVT)
",,CR0630,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_32,CORE,INVESTIGATION,WORST ECG STEMI OR STEMI EQUIVALENT,"Indicate if STEMI or STEMI equivalent was noted on the WORST ECG (ST-segment elevation/LBBB/isolated inferobasal MI) with the first 24 hours following DATE/TIME OF FIRST PRESENTATION TO HEALTHCARE PROVIDER
If the response is 'Yes' then:
Must satisfy at least one of the following criteria: 1. New ST-segment elevation at the J point in 2 contiguous leads with cutpoints ³0.1mV in all leads other than leads V2 and V3 where the following cutpoints apply: ³0.2mV in men  age ³40y, ³0.2mV in men age <40y or ³0.15mV in women 2. New isolated ST-segment depression ³0.1mV in at least 2 contiguous leads of V1 to V2 with upright T waves 3. New ST-segment elevation ³ in leads V7 to V9 or ³0.1mV in men age <40y (inferobasal [posterior] infarction) 4. New ST-segment elevation ³0.05mV (³0.1mV in  in men age <30y) in leads V3R, V4R (right ventricular infarction) 5. New ST-egment elevation ³0.1mV in lead aVR with concomitant  ST-segment depression ³0.05mV in at least 2 conitguous leads","0 : No
1 : Yes
A  : Inferior leads: II, III, aVF
B  : Anterior Leads: V1 to V6
C  : Lateral leads: I, aVL
D : True posterior (inferobasal): (relevant only for tall wide R waves >40ms in leads V1 and V2). Consideration can be given to recording posterior ST changes, the maximal amount of ST (if applicable), and/or the number of leads with ST
",,CR0640,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_33,CORE,INVESTIGATION,WORST ECG OTHER ISCHAEMIC CHANGES,Indicate if other ischaemic findings were demonstrated on the worst ECG within the first 24 hours following DATE/TIME OF PRESENTATION TO HEALTHCARE PROVIDER.  These may include 1. New or presumed new ST-segment depression 2. New or presumed new T-wave inversion 3. Transient ST-segment elevation lasting <20 min 4. New persistent LBBB 5. None of the above.  Also note the location of the ECG changes which are divided into four categories.,"0 : None of the other changes described were present
1 : New or presumed new ST-segment depression: indicate if there was new or presumed new horizontal or downsloping ST depression ³0.05mV in 2 contiguous  leads and/or T wave inversion ³0.1mV in 2 contiguous leads with prominent R wave or R/S >1. T wave negativity may be normal in leads with predominant negative QRS complexes but are usually abnormal when the QRS complex is upright
2 : New or presumed new T-wave inversion: indicate if there was new or presumed new T-wave inversion of at least 0.1mV in 2 contiguous leads. The T wave usually has the polarity of T-wave vector similar to the QRS vector. Thus, in normal subjects, negative T-waves may be observed where the QRS is negative (e.g. lead aVL with vertical axis). Juvenile T-wave patterns, pectus excavatum, and other conditions may be associated with T-wave inversion that is not ischaemic in origin
3 : Transient ST-segment elevation lasting <20 min: indicate if there was new or presumed new ST-segment elevation at the J point in 2 contiguous leads with the cutpoints ³0.1mV in all leads other than V2 to V3 where the following cutpoints apply: ³0.2mV in men age ³40y, ³0.25mV in men age <40y, or ³0.15mV in women
4 : Indicate if new LBBB was present
A  : Inferior leads: II, III, aVF
B  : Anterior Leads: V1 to V6
C  : Lateral leads: I, aVL
",,CR0650,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_34,CORE,INVESTIGATION,WORSE ECG PRESENCE OF NEW Q WAVES,Indicate if new pathological Q waves are WORST on the first ECG (³6h after FIRST ECG),"0 : No
1 : Q waves that are ³0.03s in width, in at least 2 contiguous leads, and ³1mm (0.1mV) in depth present on ECG
A  : Inferior leads: II, III, aVF
B  : Anterior Leads: V1 to V6
C  : Lateral leads: I, aVL
",,CR0660,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_35,CORE,INVESTIGATION,TROPONIN TYPE AND ULN,Indicate the type of Troponin (e.g. T or I) and state if highly sensitive or standard assay.  State the upper referance value of normal.,"1 : Troponin T standard assay
2 : Troponin T hs assay
3 : Troponin I standard assay
4 : Troponin I hs assay
ULN : Upper reference value (99th percentile)
",,CR0710,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_36,CORE,INVESTIGATION,FASTING STATUS,Indicate if the PERSON was fasting at the time of DATE/TIME OF LIPID/GLUCOSE MEASURMENT. Fasting means that the PERSON had not consumed anything other than plain water for 8h or more prior to sampling,"0 : No
1 : Yes
",,CR0850,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_37,CORE,INVESTIGATION,RESTING LV SYSTOLIC FUNCTION,Indicate the LEFT VENTRICULAR EJECTION FRACTION PERCENTAGE  assessed following DATE/TIME OF FIRST PRESENTATION TO HEALTHCARE PROVIDER as measured by M-mode transthoracic echocardioraphy or 2D transthoracic echocardiography using the Simpson's biplane method.,"1 : Hyperdynamic (>70%)
2 : Normal (50-70%)
3 : Mild dysfunction (40-49%)
4 : Moderate dysfunction (30-39%)
5 : Severe dysfucntion (<30%)
",,CR1000,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_38,CORE,INVESTIGATION,AORTIC STENOSIS,Indicate the presence and severity of AORTIC STENOSIS,"0 : No aortic stenosis
1 : Mild aortic stenosis (Peak velocity <2.9 m/s)
2 : Moderate aortic stenosis (Peak velocity 3-3.9 m/s)
3 : Severe aortic stenosis (Peak velcoty >4 m/s)
4 : Critical aortic stenosis
",,CR1010,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_39,CORE,INVESTIGATION,TYPE OF STRESS TEST,Indicate the TYPE OF STRESS TEST performed,"1 : Exercise tolerance test - standard BRUCE protocol using treadmill
2 : Exercise tolerance test - standard BRUCE protocol using bicycle
3 : Exercise tolerance test - modified BRUCE protocol using treadmill
4 : Exercise tolerance test - Modified BRUCE protocol using bicycle
5 : Pharmacological stress echocardiogram
6 : Pharmacological stress myocardial perfusion (NM) scan
",,CR1040,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_40,CORE,INVESTIGATION,MAXIMAL OR SUBMAXIMAL STRESS TEST,Indicate is the STRESS TEST was MAXIMAL or SUBMAXIMAL.  ,"1 : Maximal stress test: the PERSON achieved target heart rate and/or was limited by symptoms
2 : Submaximal stress thest: the PERSON did not achieve target heart rate and/or the test ended at stage one or 2 of modified BRUCE protocol and/or the procedure was not tolerated by the PERSON
",,CR1050,,,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_41,CORE,INVESTIGATION,ISCHAEMIA RESULT,"Indicate if the ISCHAEMIC RESULT was positive, negative, equivocal, non-diagnostic)","1 : Positive: new exercise-induced ischaemic horizontal or downsloping  ST-segment depression ³0.1mV or new ST-segment elevation ³0.1mV in a non-infarct territory, as compared with the baseline tracing  (in the absence of electrocardiographic confounding such as LV hypertrophy, digoxin-induced changes, or LBBB)
2 : Negative: normal exercise test. No significant exercise-induce ST shift or chest pain suggestive of angina and a normal haemodynamic response to  exercise with adequate workload to test cardiac reserve
3 : Equivocal: exercise-induced chest pain considered to be angina in the absence of signficant ischaemic ST change
4 : Non-diagnostic: negative as defined above, but level of exercise insufficient to adequately test cardiac reserve (e.g. <85% age-predicted maximum heart rate achieved) or exercise-induced electrocardiographic changes in the presence of LBBB, LVH, or other known confounder
",,CR1060,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_42,CORE,INVESTIGATION,PRESENCE OF STENOSIS >50% IN THE LEFT MAIN STEM,Indicate if there was a stenosis of >50% in the LEFT MAIN STEM coronary artery at coronary angiography,"0 : No
1 : Yes
",,CR1090,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_43,CORE,INVESTIGATION,PRESENCE OF STENOSIS >70% OF EPICARDIAL ARTERY,Indicate if there was a stenosis of >70% in any EPICARDIAL ARTERY,"0 : No
1 : Yes
",,CR1100,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_44,CORE,INVESTGATION,PRESENCE OF THROMBUS,Indicate if there was thrombus identified at the time of the RADIOLOGICAL PROCEDURE,"0 : No
1 : Yes
",,CR1110,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_45,CORE,INVESTIGATION,INVASIVE CORONARY ANGIOGRAPHY CONTRAINDICATED,"Indicate if INVASIVE CORONARY ANGIOGRAPHY was CONTRAINDICATED.  Contraindications may include patient refusal, advanced age, patient not a candidate for revascularisation, DNAR order, active bleeding, and clinical contraindications/severe co-morbidities","0 : No
1 : Yes
",,CR1120,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_46,CORE,INVESTIGATION,CARDIAC MRI PERFUSION TEST POSITIVE,Indicate if the CARDIAC MRI PERFUSION TEST was positive,"0 : No
1 : Yes
",,CR1150,2,2,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_47,CORE,INVESTIGATION,PRESENCE OF STENOSIS >50% OF EPICARDIAL ARTERY,Indicate if the imaging modality demonstrated >50% stenosis of an epicardial artery,"0 : No
1 : Yes
",,CR1180,2,2,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_48,CORE,INTERVENTION,PRIMARY PROCEDURE,Indicate if the PCI was a primary procedure for the purposes of repurfusion in the context of STEMI or STEMI EQUIVALENT,"0 : No
1 : Yes
",,CR1210,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_49,CORE,INTERVENTION,PCI - STENT PLACED,Indicate if a stent was placed in the affected coronary artery,"0 : No
1 : Yes
",,CR1220,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_50,CORE,INTERVENTION,CABG SURGERY,Indicate if the PERSON underwent CABG before DATE OF DISCHARGE,"0 : No
1 : Yes
",,CR1230,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_51,CORE,INTERVENTION,IABP,Indicate if IABP was used on the PERSON during the admission,"0 : No
1 : Yes
",,CR1250,2,2,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_52,CORE,INTERVENTION,INVASIVE VENTILATION,Indicate if the PERSON needed intubation and respiratory support on a ventilator,"0 : No
1 : Yes
",,CR1260,2,2,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
