Data item No.,Section,Sub-section,Data Item Name,Data Item Description,Value domain,Data Dictionary Element,"[Optional]
Local identifier","A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? "
NHIC_ICU_25,Physiology, respiratory,PaO2,PaO2 measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_26,Physiology, respiratory,PaO2 - time and date of measurement.,Time and date of PaO2 measurement.,,,,1,1,1,1,1
NHIC_ICU_27,Physiology, respiratory,PaCO2,PaCO2 measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_28,Physiology, respiratory,PaCO2 - time and date of measurement.,Time and date of PaCO2 measurement.,,,,1,1,1,1,1
NHIC_ICU_29,Physiology, respiratory,pH,pH measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_30,Physiology, respiratory,pH - time and date of measurement.,Time and date of pH measurement.,,,,1,1,1,1,1
NHIC_ICU_31,Physiology, respiratory,HCO32-,HCO32- measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_32,Physiology, respiratory,HCO 3 2- time and date of measurement.,Time and date of HCO32- measurement.,,,,1,1,1,1,1
NHIC_ICU_33,Physiology, respiratory,Temperature - highest/24hr,Temperature measurement. Recorded highest/24hr.,,,,1,1,1,1,1
NHIC_ICU_34,Physiology, respiratory,Temperature - highest/24hr - time and date of measurement.,Time and date of Temperature - highest/24hr measurement.,,,,1,1,1,1,1
NHIC_ICU_35,Physiology, respiratory,Temperature - lowest/24hr,Temperature measurement. Recorded lowest/24hr.,,,,1,1,1,1,1
NHIC_ICU_36,Physiology, respiratory,Temperature - lowest/24hr - time and date of measurement.,Time and date of Temperature - lowest/24hr measurement.,,,,1,1,1,1,1
NHIC_ICU_37,Physiology, respiratory,Position,Position measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_38,Physiology, respiratory,Position - time and date of measurement.,Time and date of Position measurement.,,,,1,1,1,1,1
NHIC_ICU_39,Physiology, respiratory,Invasive or non-invasive,Invasive or non-invasive measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_40,Physiology, respiratory,Invasive or non-invasive - time and date of measurement.,Time and date of Invasive or non-invasive measurement.,,,,1,1,1,1,1
NHIC_ICU_41,Physiology, respiratory (conventional),Respiratory Rate,Respiratory Rate measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_42,Physiology, respiratory (conventional),Respiratory Rate - time and date of measurement.,Time and date of Respiratory Rate measurement.,,,,1,1,1,1,1
NHIC_ICU_43,Physiology, respiratory (conventional),Minute volume,Minute volume measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_44,Physiology, respiratory (conventional),Minute volume - time and date of measurement.,Time and date of Minute volume measurement.,,,,1,1,1,1,1
NHIC_ICU_45,Physiology, respiratory (conventional),Peak airway pressure,Peak airway pressure measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_46,Physiology, respiratory (conventional),Peak airway pressure - time and date of measurement.,Time and date of Peak airway pressure measurement.,,,,1,1,1,1,1
NHIC_ICU_47,Physiology, respiratory (conventional),Inspired fraction of oxygen,Inspired fraction of oxygen measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_48,Physiology, respiratory (conventional),Inspired fraction of oxygen - time and date of measurement.,Time and date of Inspired fraction of oxygen measurement.,,,,1,1,1,1,1
NHIC_ICU_49,Physiology, respiratory (conventional),Positive End Expiratory Pressure,Positive End Expiratory Pressure measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_50,Physiology, respiratory (conventional),Positive End Expiratory Pressure - time and date of measurement.,Time and date of Positive End Expiratory Pressure measurement.,,,,1,1,1,1,1
NHIC_ICU_51,Physiology, respiratory (HFOV),Airway pressure,Airway pressure measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_52,Physiology, respiratory (HFOV),Airway pressure - time and date of measurement.,Time and date of Airway pressure measurement.,,,,1,1,1,1,1
NHIC_ICU_53,Physiology, respiratory (HFOV),Frequency (Hz),Frequency (Hz) measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_54,Physiology, respiratory (HFOV),Frequency (Hz) - time and date of measurement.,Time and date of Frequency (Hz) measurement.,,,,1,1,1,1,1
NHIC_ICU_55,Physiology, respiratory (HFOV),Cycle Volume,Cycle Volume measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_56,Physiology, respiratory (HFOV),Cycle Volume - time and date of measurement.,Time and date of Cycle Volume measurement.,,,,1,1,1,1,1
NHIC_ICU_57,Physiology, respiratory (HFOV),Base flow,Base flow measurement. Recorded hourly.,,,,,,,,3
NHIC_ICU_58,Physiology, respiratory (HFOV),Base flow - time and date of measurement.,Time and date of Base flow measurement.,,,,,,,,3
NHIC_ICU_59,Physiology, neuro,GCS - highest/24hr,GCS measurement. Recorded highest/24hr.,,,,1,1,1,1,1
NHIC_ICU_60,Physiology, neuro,GCS - highest/24hr - time and date of measurement.,Time and date of GCS - highest/24hr measurement.,,,,1,1,1,1,1
NHIC_ICU_61,Physiology, neuro,GCS - lowest/24hr,GCS measurement. Recorded highest lowest/24hr.,,,,1,1,1,1,1
NHIC_ICU_62,Physiology, neuro,GCS - lowest/24hr - time and date of measurement.,Time and date of GCS - lowest/24hr measurement.,,,,1,1,1,1,1
NHIC_ICU_63,Physiology, neuro,Sedation yes/no,Sedation yes/no measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_64,Physiology, neuro,Sedation yes/no - time and date of measurement.,Time and date of Sedation yes/no measurement.,,,,1,1,1,1,1
NHIC_ICU_65,Renal, neuro,U/O,U/O measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_66,Renal, neuro,U/O - time and date of measurement.,Time and date of U/O measurement.,,,,1,1,1,1,1
NHIC_ICU_67,Renal, neuro,Renal replacement mode,Renal replacement mode measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_68,Renal, neuro,Renal replacement mode - time and date of measurement.,Time and date of Renal replacement mode measurement.,,,,1,1,1,1,1
NHIC_ICU_69,Renal, neuro,24 hr fluid balance,24 hr fluid balance measurement. Recorded 24hourly (midnight).,,,,1,1,1,1,1
NHIC_ICU_70,Renal, neuro,24 hr fluid balance - time and date of measurement.,Time and date of 24 hr fluid balance measurement.,,,,1,1,1,1,1
NHIC_ICU_71,Renal, neuro,Dose of renal replacement ml/kg/hr,Dose of renal replacement ml/kg/hr measurement. Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_72,Renal, neuro,Dose of renal replacement ml/kg/hr - time and date of measurement.,Time and date of Dose of renal replacement ml/kg/hr measurement.,,,,1,1,1,1,1
NHIC_ICU_73,GI physiology, neuro,NG aspirate,NG aspirate measurement. Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_74,GI physiology, neuro,NG aspirate - time and date of measurement.,Time and date of NG aspirate measurement.,,,,1,1,1,1,1
NHIC_ICU_75,GI physiology, neuro,Bowels open,Bowels open measurement. Recorded daily.,,,,1,1,3,1,1
NHIC_ICU_76,GI physiology, neuro,Bowels open - time and date of measurement.,Time and date of Bowels open measurement.,,,,1,1,3,1,1
NHIC_ICU_77,GI physiology, neuro,Pressure sore,Pressure sore measurement. Recorded daily.,,,,2,2,1,1,1
NHIC_ICU_78,GI physiology, neuro,Pressure sore - time and date of measurement.,Time and date of Pressure sore measurement.,,,,2,2,1,1,1
NHIC_ICU_79,Biochemistry, renal,Sodium,Sodium measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_80,Biochemistry, renal,Sodium - time and date of measurement.,Time and date of Sodium measurement.,,,,1,1,1,1,1
NHIC_ICU_81,Biochemistry, renal,Creatinine,Creatinine measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_82,Biochemistry, renal,Creatinine - time and date of measurement.,Time and date of Creatinine measurement.,,,,1,1,1,1,1
NHIC_ICU_83,Biochemistry, renal,Potassium,Potassium measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_84,Biochemistry, renal,Potassium - time and date of measurement.,Time and date of Potassium measurement.,,,,1,1,1,1,1
NHIC_ICU_85,Biochemistry, renal,Urea,Urea measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_86,Biochemistry, renal,Urea - time and date of measurement.,Time and date of Urea measurement.,,,,1,1,1,1,1
NHIC_ICU_87,Biochemistry, liver,Albumin,Albumin measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_88,Biochemistry, liver,Albumin - time and date of measurement.,Time and date of Albumin measurement.,,,,1,1,1,1,1
NHIC_ICU_89,Biochemistry, liver,Bilirubin,Bilirubin measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_90,Biochemistry, liver,Bilirubin - time and date of measurement.,Time and date of Bilirubin measurement.,,,,1,1,1,1,1
NHIC_ICU_91,Biochemistry, liver,ALP,ALP measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_92,Biochemistry, liver,ALP - time and date of measurement.,Time and date of ALP measurement.,,,,1,1,1,1,1
NHIC_ICU_93,Biochemistry, liver,AST,AST measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_94,Biochemistry, liver,AST - time and date of measurement.,Time and date of AST measurement.,,,,1,1,1,1,1
NHIC_ICU_95,Biochemistry, liver,ALT,ALT measurement. Recorded 1:1.,,,,1,1,4,1,3
NHIC_ICU_96,Biochemistry, liver,ALT - time and date of measurement.,Time and date of ALT measurement.,,,,1,1,4,1,3
NHIC_ICU_97,Biochemistry, liver,glucose [BLOOD GAS],glucose [BLOOD GAS] measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_98,Biochemistry, liver,glucose [BLOOD GAS] - time and date of measurement.,Time and date of glucose [BLOOD GAS] measurement.,,,,1,1,1,1,1
NHIC_ICU_99,Biochemistry, liver,glucose [lab],glucose [lab] measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_100,Biochemistry, liver,glucose [lab] - time and date of measurement.,Time and date of glucose [lab] measurement.,,,,1,1,1,1,1
NHIC_ICU_101,Haematology, liver,Hb,Hb measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_102,Haematology, liver,Hb - time and date of measurement.,Time and date of Hb measurement.,,,,1,1,1,1,1
NHIC_ICU_103,Haematology, liver,White cell count,White cell count measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_104,Haematology, liver,White cell count - time and date of measurement.,Time and date of White cell count measurement.,,,,1,1,1,1,1
NHIC_ICU_105,Haematology, liver,Neutrophil,Neutrophil measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_106,Haematology, liver,Neutrophil - time and date of measurement.,Time and date of Neutrophil measurement.,,,,1,1,1,1,1
NHIC_ICU_107,Haematology, liver,Lymphocyte,Lymphocyte measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_108,Haematology, liver,Lymphocyte - time and date of measurement.,Time and date of Lymphocyte measurement.,,,,1,1,1,1,1
NHIC_ICU_109,Haematology, liver,Platelets,Platelets measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_110,Haematology, liver,Platelets - time and date of measurement.,Time and date of Platelets measurement.,,,,1,1,1,1,1
NHIC_ICU_111,Haematology, liver,APTT,APTT measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_112,Haematology, liver,APTT - time and date of measurement.,Time and date of APTT measurement.,,,,1,1,1,1,1
NHIC_ICU_113,Haematology, liver,INR,INR measurement. Recorded 1:1.,,,,1,1,1,1,1
NHIC_ICU_114,Haematology, liver,INR - time and date of measurement.,Time and date of INR measurement.,,,,1,1,1,1,1
NHIC_ICU_115,Microbiology, liver,Site,Site measurement. Recorded 1:1.,,,,2,2,1,1,2
NHIC_ICU_116,Microbiology, liver,Site - time and date of measurement.,Time and date of Site measurement.,,,,2,2,1,1,2
NHIC_ICU_117,Microbiology, liver,organism,organism measurement. Recorded 1:1.,,,,2,2,1,1,2
NHIC_ICU_118,Microbiology, liver,organism - time and date of measurement.,Time and date of organism measurement.,,,,2,2,1,1,2
NHIC_ICU_119,Microbiology, liver,senitivity,senitivity measurement. Recorded 1:1.,,,,2,2,1,1,2
NHIC_ICU_120,Microbiology, liver,senitivity - time and date of measurement.,Time and date of senitivity measurement.,,,,2,2,1,1,2
NHIC_ICU_121,Microbiology, liver,Legionella ag,Legionella ag measurement. Recorded 1:1.,,,,2,2,1,1,2
NHIC_ICU_122,Microbiology, liver,Legionella ag - time and date of measurement.,Time and date of Legionella ag measurement.,,,,2,2,1,1,2
NHIC_ICU_123,Microbiology, liver,Pneumococcal ag,Pneumococcal ag measurement. Recorded 1:1.,,,,2,2,1,1,2
NHIC_ICU_124,Microbiology, liver,Pneumococcal ag - time and date of measurement.,Time and date of Pneumococcal ag measurement.,,,,2,2,1,1,2
NHIC_ICU_125,Microbiology, liver,Mycoplasma,Mycoplasma measurement. Recorded 1:1.,,,,2,2,1,1,2
NHIC_ICU_126,Microbiology, liver,Mycoplasma - time and date of measurement.,Time and date of Mycoplasma measurement.,,,,2,2,1,1,2
NHIC_ICU_127,Microbiology, liver,Resp Viral Screen,Resp Viral Screen measurement. Recorded 1:1.,,,,2,2,3,1,2
NHIC_ICU_128,Microbiology, liver,Resp Viral Screen - time and date of measurement.,Time and date of Resp Viral Screen measurement.,,,,2,2,3,1,2
NHIC_ICU_129,Microbiology, liver,GI viral screen ,GI viral screen measurement. Recorded 1:1.,,,,2,2,3,1,2
NHIC_ICU_130,Microbiology, liver,GI viral screen - time and date of measurement.,Time and date of GI viral screen measurement.,,,,2,2,3,1,2
NHIC_ICU_131,Microbiology, liver,Fungal culture,Fungal culture measurement. Recorded 1:1.,,,,2,2,3,1,2
NHIC_ICU_132,Microbiology, liver,Fungal culture - time and date of measurement.,Time and date of Fungal culture measurement.,,,,2,2,3,1,2
NHIC_ICU_133,Microbiology, liver,C.diff toxin/cult,C.diff toxin/cult measurement. Recorded 1:1.,,,,2,2,1,1,2
NHIC_ICU_134,Microbiology, liver,C.diff toxin/cult - time and date of measurement.,Time and date of C.diff toxin/cult measurement.,,,,2,2,1,1,2
NHIC_ICU_135,Drugs, Vasoactive (parenteral),Adrenaline - start time and date,Adrenaline start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_136,Drugs, Vasoactive (parenteral),Adrenaline - finish time and date,Adrenaline finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_137,Drugs, Vasoactive (parenteral),Adrenaline - quantity/hr,Adrenaline quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_138,Drugs, Vasoactive (parenteral),Noradrenaline - start time and date,Noradrenaline start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_139,Drugs, Vasoactive (parenteral),Noradrenaline - finish time and date,Noradrenaline finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_140,Drugs, Vasoactive (parenteral),Noradrenaline - quantity/hr,Noradrenaline quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_141,Drugs, Vasoactive (parenteral),Dobutamine - start time and date,Dobutamine start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_142,Drugs, Vasoactive (parenteral),Dobutamine - finish time and date,Dobutamine finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_143,Drugs, Vasoactive (parenteral),Dobutamine - quantity/hr,Dobutamine quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_144,Drugs, Vasoactive (parenteral),Dopamine - start time and date,Dopamine start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_145,Drugs, Vasoactive (parenteral),Dopamine - finish time and date,Dopamine finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_146,Drugs, Vasoactive (parenteral),Dopamine - quantity/hr,Dopamine quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_147,Drugs, Vasoactive (parenteral),Levosimendan - start time and date,Levosimendan start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_148,Drugs, Vasoactive (parenteral),Levosimendan - finish time and date,Levosimendan finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_149,Drugs, Vasoactive (parenteral),Levosimendan - quantity/hr,Levosimendan quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_150,Drugs, Vasoactive (parenteral),Enoximone - start time and date,Enoximone start time and date.  Recorded hourly.,,,,1,1,4,1,4
NHIC_ICU_151,Drugs, Vasoactive (parenteral),Enoximone - finish time and date,Enoximone finish time and date.  Recorded hourly.,,,,1,1,4,1,4
NHIC_ICU_152,Drugs, Vasoactive (parenteral),Enoximone - quantity/hr,Enoximone quantity/hr  Recorded hourly.,,,,1,1,4,1,4
NHIC_ICU_153,Drugs, Vasoactive (parenteral),Milrinione - start time and date,Milrinione start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_154,Drugs, Vasoactive (parenteral),Milrinione - finish time and date,Milrinione finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_155,Drugs, Vasoactive (parenteral),Milrinione - quantity/hr,Milrinione quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_156,Drugs, Vasoactive (parenteral),Labetalol - start time and date,Labetalol start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_157,Drugs, Vasoactive (parenteral),Labetalol - finish time and date,Labetalol finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_158,Drugs, Vasoactive (parenteral),Labetalol - quantity/hr,Labetalol quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_159,Drugs, Vasoactive (parenteral),Esmolol - start time and date,Esmolol start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_160,Drugs, Vasoactive (parenteral),Esmolol - finish time and date,Esmolol finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_161,Drugs, Vasoactive (parenteral),Esmolol - quantity/hr,Esmolol quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_162,Drugs, Vasoactive (parenteral),Metoprolol - start time and date,Metoprolol start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_163,Drugs, Vasoactive (parenteral),Metoprolol - finish time and date,Metoprolol finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_164,Drugs, Vasoactive (parenteral),Metoprolol - quantity/hr,Metoprolol quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_165,Drugs, Vasoactive (parenteral),GTN - start time and date,GTN start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_166,Drugs, Vasoactive (parenteral),GTN - finish time and date,GTN finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_167,Drugs, Vasoactive (parenteral),GTN - quantity/hr,GTN quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_168,Drugs, Vasoactive (parenteral),Nitric Oxide - start time and date,Nitric Oxide start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_169,Drugs, Vasoactive (parenteral),Nitric Oxide - finish time and date,Nitric Oxide finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_170,Drugs, Vasoactive (parenteral),Nitric Oxide - quantity/hr,Nitric Oxide quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_171,Drugs, Vasoactive (parenteral),Sodium Nitroprusside - start time and date,Sodium Nitroprusside start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_172,Drugs, Vasoactive (parenteral),Sodium Nitroprusside - finish time and date,Sodium Nitroprusside finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_173,Drugs, Vasoactive (parenteral),Sodium Nitroprusside - quantity/hr,Sodium Nitroprusside quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_174,Drugs, Vasoactive (parenteral),Inhaled prostacyclin (derivatives) - start time and date,Inhaled prostacyclin (derivatives) start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_175,Drugs, Vasoactive (parenteral),Inhaled prostacyclin (derivatives) - finish time and date,Inhaled prostacyclin (derivatives) finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_176,Drugs, Vasoactive (parenteral),Inhaled prostacyclin (derivatives) - quantity/hr,Inhaled prostacyclin (derivatives) quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_177,Drugs, Vasoactive (parenteral),Terlipressin - start time and date,Terlipressin start time and date.  Recorded hourly.,,,,1,1,4,1,4
NHIC_ICU_178,Drugs, Vasoactive (parenteral),Terlipressin - finish time and date,Terlipressin finish time and date.  Recorded hourly.,,,,1,1,4,1,4
NHIC_ICU_179,Drugs, Vasoactive (parenteral),Terlipressin - quantity/hr,Terlipressin quantity/hr  Recorded hourly.,,,,1,1,4,1,4
NHIC_ICU_180,Drugs, Vasoactive (parenteral),Vasopressin - start time and date,Vasopressin start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_181,Drugs, Vasoactive (parenteral),Vasopressin - finish time and date,Vasopressin finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_182,Drugs, Vasoactive (parenteral),Vasopressin - quantity/hr,Vasopressin quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_183,Drugs, Analgo/Sedation,Propofol - start time and date,Propofol start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_184,Drugs, Analgo/Sedation,Propofol - finish time and date,Propofol finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_185,Drugs, Analgo/Sedation,Propofol - quantity/hr,Propofol quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_186,Drugs, Analgo/Sedation,Dexmedetomidine - start time and date,Dexmedetomidine start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_187,Drugs, Analgo/Sedation,Dexmedetomidine - finish time and date,Dexmedetomidine finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_188,Drugs, Analgo/Sedation,Dexmedetomidine - quantity/hr,Dexmedetomidine quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_189,Drugs, Analgo/Sedation,Midazolam - start time and date,Midazolam start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_190,Drugs, Analgo/Sedation,Midazolam - finish time and date,Midazolam finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_191,Drugs, Analgo/Sedation,Midazolam - quantity/hr,Midazolam quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_192,Drugs, Analgo/Sedation,Lorazepam - start time and date,Lorazepam start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_193,Drugs, Analgo/Sedation,Lorazepam - finish time and date,Lorazepam finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_194,Drugs, Analgo/Sedation,Lorazepam - quantity/hr,Lorazepam quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_195,Drugs, Analgo/Sedation,Fentanyl - start time and date,Fentanyl start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_196,Drugs, Analgo/Sedation,Fentanyl - finish time and date,Fentanyl finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_197,Drugs, Analgo/Sedation,Fentanyl - quantity/hr,Fentanyl quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_198,Drugs, Analgo/Sedation,Alfentanyl - start time and date,Alfentanyl start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_199,Drugs, Analgo/Sedation,Alfentanyl - finish time and date,Alfentanyl finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_200,Drugs, Analgo/Sedation,Alfentanyl - quantity/hr,Alfentanyl quantity/hr  Recorded hourly.,,,,1,1,1,1,1
