Data item No.,Section,Sub-section,Data Item Name,Data Item Description,"Datatype (Indicative only)",National Code,Data Dictionary Element,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? "
NHIC_HEP_16,Lab tests,,CD4 cell count,,Numeric,,,CD4,2,1,2,1,2
NHIC_HEP_17,Lab tests,,Cholesterol,,Numeric,,,CHOLEST,2,1,2,1,2
NHIC_HEP_18,Lab tests,,C reactive protein,,Numeric,,,CREACTPRT,2,1,2,1,2
NHIC_HEP_19,Lab tests,,Creatinine clearance,,Numeric,,,CREATCLR,2,1,2,1,2
NHIC_HEP_20,Lab tests,,eGFR,,Numeric,,,EGFR,2,1,2,1,2
NHIC_HEP_21,Lab tests,,Fasting Glucose,,Numeric,,,FASTGLUC,2,1,2,1,2
NHIC_HEP_22,Lab tests,,Fasting Insulin,,Numeric,,,FASTINSUL,2,1,2,1,2
NHIC_HEP_23,Lab tests,,Ferritin,,Numeric,,,FERRITIN,2,1,2,1,2
NHIC_HEP_24,Lab tests,,Gamma-glutamyl transferase (GGT),,Numeric,,,GGT,2,1,2,1,2
NHIC_HEP_25,Lab tests,,Haemaglobin A1c,,Numeric,,,HAEMA1C,2,1,2,1,2
NHIC_HEP_26,Lab tests,,Haemoglobin,,Numeric,,,HAEMOGLB,2,1,2,1,2
NHIC_HEP_27,Lab tests,,Hepatitis B surface antigen (quant),,Numeric,,,HBSAGQUAN,2,1,2,1,2
NHIC_HEP_28,Lab tests,,Hepatitis B surface antigen (qual),,Pos/neg,,,HBSAGQUAL,2,1,2,1,2
NHIC_HEP_29,Lab tests,,Hepatitis B e antigen,,Pos/Neg,,,HBeANTIG,2,1,2,1,2
NHIC_HEP_30,Lab tests,,HBV DNA,,Numeric,,,HBVDNA,2,1,2,1,2
NHIC_HEP_31,Lab tests,,HCV Genotype,,Text,,,HCVGEN,2,1,2,1,2
NHIC_HEP_32,Lab tests,,HCV PCR (qualitative),,Pos/Neg/Ind,,,HCVPCRQUAL,2,1,2,1,2
NHIC_HEP_33,Lab tests,,HCV PCR (quantitative),,Numeric,,,HCVPCRQUAN,2,1,2,1,2
NHIC_HEP_34,Lab tests,,HDL Cholesterol (Fasting),,Numeric,,,HDLF,2,1,2,1,2
NHIC_HEP_35,Lab tests,,HDL Cholesterol (Non-fasting),,Numeric,,,HDLNF,2,1,2,1,2
NHIC_HEP_36,Lab tests,,HIV viral load (quant),,Numeric,,,HIVPCRQUAN,2,1,2,1,2
NHIC_HEP_37,Lab tests,,HIV viral load (qual),,Pos/Neg,,,HIVPCRQUAL,2,1,2,1,2
NHIC_HEP_38,Lab tests,,Hepatitis B surface antigen,,Pos/Neg,,,HVBSANT,2,1,2,1,2
NHIC_HEP_39,Lab tests,,Immunoglobulin A (IgA),,Numeric,,,IgA,2,1,2,1,2
NHIC_HEP_40,Lab tests,,Immunoglobulin G (IgG),,Numeric,,,IgG,2,1,2,1,2
NHIC_HEP_41,Lab tests,,Immunoglobulin M (IgM),,Numeric,,,IgM,2,1,2,1,2
NHIC_HEP_42,Lab tests,,INR,,Numeric,,,INR,2,1,2,1,2
NHIC_HEP_43,Lab tests,,LDL Cholesterol,,Numeric,,,LDL,2,1,2,1,2
NHIC_HEP_44,Lab tests,,Mean cell haemoglobin  (MCH),,Numeric,,,MCH,2,1,2,1,2
NHIC_HEP_45,Lab tests,,Mean Cell Volume (MCV),,Numeric,,,MCV,2,1,2,1,2
NHIC_HEP_46,Lab tests,,Non-HDL Cholesterol (Fasting),,Numeric,,,NONHDLCHF,2,1,2,1,2
NHIC_HEP_47,Lab tests,,Non-HDL Cholesterol (Non-fasting),,Numeric,,,NONHDLCHNF,2,1,2,1,2
NHIC_HEP_48,Lab tests,,Plasma Gluscose (non-fasting),,Numeric,,,PLASGLUC,2,1,2,1,2
NHIC_HEP_49,Lab tests,,Platelet count,,Numeric,,,PLATELET,2,1,2,1,2
NHIC_HEP_50,Lab tests,,Rheumatoid factor,,Pos/Neg,,,RHEUMFACT,2,1,2,1,2
NHIC_HEP_51,Lab tests,,Serum Creatinine,,Numeric,,,SERCREAT,2,1,2,1,2
NHIC_HEP_52,Lab tests,,Serum Urea,,Numeric,,,SERUREA,2,1,2,1,2
NHIC_HEP_53,Lab tests,,Total Cholesterol (Fasting),,Numeric,,,TOTCHOLF,2,1,2,1,2
NHIC_HEP_54,Lab tests,,Total Cholesterol (Non-fasting),,Numeric,,,TOTCHOLNF,2,1,2,1,2
NHIC_HEP_55,Lab tests,,Total: HDL Chol Ratio (Fasting),,Numeric,,,TOTCHOLRF,2,1,2,1,2
NHIC_HEP_56,Lab tests,,Total: HDL Chol Ratio (Non-fasting),,Numeric,,,TOTCHOLRNF,2,1,2,1,2
NHIC_HEP_57,Lab tests,,Total Protein,,Numeric,,,TOTPROT,2,1,2,1,2
NHIC_HEP_58,Lab tests,,Triglycerides (Fasting),,Numeric,,,TRIGLYCF,2,1,2,1,2
NHIC_HEP_59,Lab tests,,Triglycerides (Non-fasting),,Numeric,,,TRIGLYCNF,2,1,2,1,
NHIC_HEP_60,Lab tests,,Vitamin D,,Numeric,,,VITD,2,1,2,1,2
NHIC_HEP_61,Lab tests,,White cell count,,Numeric,,,WCC,2,1,2,1,2
NHIC_HEP_62,Lab tests,,HDV IgM,,pos/neg,,,HDV IgM,2,1,2,1,2
NHIC_HEP_63,Lab tests,,HDV quant,,numeric,,,HDV quant,2,1,2,1,2
NHIC_HEP_64,Lab tests,,HDV genotype,,numeric,,,HDV genotype,2,1,2,1,2
NHIC_HEP_65,Lab tests,,HEV IgM,,,,,HEV IgM,2,1,2,1,2
NHIC_HEP_66,Lab tests,,HEV IgG,,,,,HEV IgG,2,1,2,1,2
NHIC_HEP_67,Lab tests,,HEV PCR,,,,,HEV PCR,2,1,2,1,2
NHIC_HEP_68,Lab tests,,HCV specific,,,,,HCV specific,2,1,2,1,2
NHIC_HEP_69,Lab tests,,HBV specific,,,,,HBV specific,2,1,2,1,2
NHIC_HEP_70,Lab tests,,AI,,,,,AI,2,1,2,1,2
NHIC_HEP_71,Lab tests,,HEV,,,,,HEV,2,1,2,1,2
NHIC_HEP_72,HCV UK links,,HCV UK Study Number,System generated as CentreId,Nchar(8),,,StudyNumber,2,2,2,1,2
NHIC_HEP_73,HCV UK links,,HCV UK Centre Code,The Site or Centre Id (see appendix A for list of centres and Ids).  Forms the first part of the patient's StudyNumber.,Nchar(3),,,CentreCode,2,2,2,1,2
NHIC_HEP_74,HCV UK links,,HCV UK Consent Date,Date patient signed study consent and entered into cohort,Datetime,,,ConsentDate,2,2,2,1,2
NHIC_HEP_75,HCV UK links,,HCV UK Consent Withdrawn Date,Date consent withdrawn,Datetime,,,ConsentWithdrawnDate,2,2,2,1,2
NHIC_HEP_76,HCV UK links,,HCV UK Recruitment Approach Code,,"Select from
 New Clinic Referral (see note 1)
 Clinic Re-attender
 Clinic Discharge - Spontaneous Resolver
 Clinic Discharge - Treated Resolver
 Invited Spontaneous resolver
 Community Clinic re-attender 
 Community clinic new referral",,,RecruitmentApproachCode,1,1,2,1,2
NHIC_HEP_77,HCV UK links,,HCV UK First Attendance Date,"1st attendance in any HCV clinic. Must be recorded for all types of referral approach.  For Invited Spontaneous Resolvers, this is the consent date.",Datetime,,,FirstAttendanceDate,2,2,2,1,2
NHIC_HEP_78,HCV UK links,,HCV UK Notes,General notes,Varchar,,,Notes,2,2,2,1,2
NHIC_HEP_79,HCV UK links,,HCV UK Contact Code,Contact method to obtain consent for further blood samples.  References ContactCodes,Nchar(1),,,ContactCode,1,1,2,1,
NHIC_HEP_80,HCV UK links,,HCV UK Blood Sample Id,Primary key - system generated field - hidden from the user,Int,,,BloodSampleId,,j1,2,1,2
NHIC_HEP_81,HCV UK links,,HCV UK Sample Label,A free text label,Nvarchar(25),,,SampleLabel,2,2,2,1,2
NHIC_HEP_82,HCV UK links,,HCV UK Sample Date,Date sample collected,Datetime,,,SampleDate,2,2,2,1,2
NHIC_HEP_83,HCV UK links,,HCV UK Blood Sample Type Code,References table BloodSampleTypeCodes in national HCV dataset.,Nchar(1),,,BloodSampleTypeCode,1,1,2,1,2
NHIC_HEP_84,HCV UK links,,HCV UK Bar Code,Scanned bar code attached to sample container,Nvarchar(20),,,BarCode,1,1,2,1,2
NHIC_HEP_85,HCV UK links,,HCV UK Date Sent To Biobank,Date blood sample data sent to BioBank.  Empty if information not yet sent/successfully received,Datetime,,,DateSentToBiobank,,,2,1,2
NHIC_HEP_86,Baseline diagnosis,Demographics,InitialOfFirstname,Initial of first or given name,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_87,Baseline diagnosis,Demographics,SoundexOfFamilyName,Soundex of Family name.  See appendix D for description of Soundex,varchar(4),,,,2,2,2,1,2
NHIC_HEP_88,Baseline diagnosis,Demographics,DoB,Date of Birth,datetime,,,,1,1,2,1,2
NHIC_HEP_89,Baseline diagnosis,Demographics,Gender,References table GenderCodes in national HCV dataset.,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_90,Baseline diagnosis,Demographics,Postcode,"The first or 'Outward' part of the postcode, e.g. S1 or NG17",Nvarchar(4),,,,1,1,2,1,2
NHIC_HEP_91,Baseline diagnosis,Demographics,CountryOfBirth,Stored as country code.  See Appendix C for full list of countries and codes.  ,Nvarchar(2),,,,1,1,2,1,2
NHIC_HEP_92,Baseline diagnosis,Demographics,EthnicityCode,Ethnicity stored as 2 digit code.  See appendix B for full list of Ethnicities and codes.  Using 2011 Census codes.,Nchar(2),,,,1,1,2,1,2
NHIC_HEP_93,Baseline diagnosis,HCV,NHICConsentDate HVC,Date patient signed study consent and entered into cohort,datetime,,,,2,2,2,,2
NHIC_HEP_94,Baseline diagnosis,HCV,NHICConsentWithdrawnDate HVC,Date consent withdrawn,Datetime,,,,2,2,2,1,2
NHIC_HEP_95,Baseline diagnosis,Demographics,NHSNo,NHS No for patients from England and Wales. Only one of NHSNo or CHINo is required,Nchar(10),,,,1,1,2,1,2
NHIC_HEP_96,Baseline diagnosis,Demographics,CHINo,Community health Index number for patients from Scotland. Only one of NHSNo or CHINo is required,Nchar(10),,,,2,2,2,1,2
NHIC_HEP_97,Baseline diagnosis,HCV,FirstAttendanceDateHCV,1st attendance in any HCV clinic. Must be recorded for all types of referral approach.  ,datetime,,,,1,1,2,1,2
NHIC_HEP_98,Baseline diagnosis,HCV,DateOfFirstPostiveHcvTest,Date of first positive HCV test (anti-HCV or HCV RNA),Datetime,,,,2,2,2,1,2
NHIC_HEP_99,Baseline diagnosis,HCV,ReferralSourceFirstPositiveSample,Referral source of first positive sample. References table SampleReferralSourceCodes in national HCV dataset.,Nvarchar(3),,,,1,1,2,1,2
NHIC_HEP_100,Baseline diagnosis,HCV,HcvRnaStatus,Infection status. References table HcvRnaStatusCodes in national HCV dataset.,Nvarchar(4),,,,1,1,2,1,2
NHIC_HEP_101,Baseline diagnosis,,HepatitisGenotype,,Nvarchar(50),,,,,,2,1,2
NHIC_HEP_102,Baseline diagnosis,,GenotypeCode,"Takes values 01-06, 12, 13, 23, etc.  Used for filtering (HepatitisGenotype is not good this as it is free text) References GenotypeCodes",Nchar(2),,,,1,1,2,1,2
NHIC_HEP_103,Baseline diagnosis,HCV,MotherHcvInfected,Indicates if patient's mother HCV infected (for children) References HcvInfectedCodes,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_104,Baseline diagnosis,HCV,FatherHcvInfected,Indicates if patient's father HCV infected (for children) References HcvInfectedCodes,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_105,Baseline diagnosis,HBV,NHICConsentDate HBV,Date patient signed study consent and entered into cohort,datetime,,,,2,2,2,1,2
NHIC_HEP_106,Baseline diagnosis,HBV,NHICConsentWithdrawnDate HBV,Date consent withdrawn,Datetime,,,,2,2,2,1,2
NHIC_HEP_107,Baseline diagnosis,HBV,FirstAttendanceDateHBV,1st attendance in any HBV clinic. Must be recorded for all types of referral approach.  ,datetime,,,,2,2,2,,2
NHIC_HEP_108,Baseline diagnosis,HBV,DateOfFirstPostiveHBV Test,Date of first positive HBV test (HBsAg),Datetime,,,,2,2,2,1,2
NHIC_HEP_109,Baseline diagnosis,HBV,HBV eAg/DNA Status,Infection status ,Nvarchar(4),,,,1,1,2,1,2
NHIC_HEP_110,Baseline diagnosis,Demographics,Born outside the UK,,Y/N,,,,,,2,1,2
NHIC_HEP_111,Baseline diagnosis,Demographics,Resident in UK ,date arrived in UK,date/years,,,,2,2,2,1,2
NHIC_HEP_112,Risk factors,Infection,ProbableInfectionRouteCode,Probable route of infection. Refers to table InfectionRoutes in national HCV dataset.,nchar(1),,,,1,1,2,1,2
NHIC_HEP_113,Risk factors,Infection,ProbableInfectionRouteOther,Free text field to capture details if ProbableInfectionRoute = Other is selected,Nvarchar(100),,,,2,2,2,1,2
NHIC_HEP_114,Risk factors,Infection,YearOfFirstInfection,Estimated year of first infection. ,int,,,,2,2,2,1,2
NHIC_HEP_115,Risk factors,Infection,DateNotPossibleToEstimate,"Where the date of first infection is not possible to estimate, tick this box",Bit,,,,2,2,2,1,2
NHIC_HEP_116,Risk factors,Infection,MotherHBvInfected,Indicates if patient's mother HBV infected ,Nchar(1),,,,3,3,2,1,2
NHIC_HEP_117,Risk factors,Infection,FatherHBVInfected,Indicates if patient's father HBV infected,Nchar(1),,,,3,3,2,1,2
NHIC_HEP_118,Risk factors,Infection,Siblings HBV infected,indicates if patients siblings HBV infected,,,,,3,3,,1,2
NHIC_HEP_119,Risk factors,Infection,partner HBV infected,indicates if patients partner is  HBV infected,,,,,3,3,2,1,2
NHIC_HEP_120,Risk factors,Infection,HEV probable infection route,,"Options:
unknown, 
aquired outside the UK, 
risk factors",,,,3,3,2,1,2
NHIC_HEP_121,Physical,,CurrentWeeklyAlcoholIntake,"Current weekly alcohol intake in units, Validation: 0 < current intake < 500",,,,,1,1,2,,2
NHIC_HEP_122,Physical,,InjectedInLastSixMonths,,Y/N,,,,,,2,1,2
NHIC_HEP_123,Physical,,CigarettesPerDay,Current cigarette use as no. of cigarettes per day. Validation 0 < cigs per day <=100,,,,,1,1,,1,2
NHIC_HEP_124,Comorbidity,,AlcoholUseCode,Alcohol use. References table AlcoholUseCodes in national HCV dataset.,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_125,Comorbidity,,EverBeenHeavyDrinker,Ever been a heavy drinker (>= 50 units/wk for 6 months or more). Yes/No,Y/N,,,,2,2,2,1,2
NHIC_HEP_126,Comorbidity,,EverInjectedDrugs,Ever injected drugs. References InjectedDRugCodes + Please Select…,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_127,Comorbidity,,YearOfFirstInjection,Estimated year of first injection,int,,,,2,2,2,,2
NHIC_HEP_128,Comorbidity,,SmokerCode,Cigarette smoking. References table SmokerCodes in national HCV dataset.,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_129,Comorbidity,,SmokerStartYear,Estimated year first started smoking,int,,,,2,2,2,1,2
NHIC_HEP_130,Comorbidity,,SmokerEndYear,Estimated year stopped smoking,int,,,,2,2,2,1,2
NHIC_HEP_131,Comorbidity,,LifetimePackYears,Estimated pack years. A pack year is defined as twenty cigarettes smoked everyday for one year.,Float,,,,2,2,2,1,2
NHIC_HEP_132,Comorbidity,,CannabisUsage,Cannabis Usage. References table CannabisCodes in national HCV dataset.,nchar(1),,,,2,2,2,1,2
NHIC_HEP_133,Comorbidity,,CannabisStartYear,Estimated year first started using cannabis,int,,,,2,2,2,1,2
NHIC_HEP_134,Comorbidity,,OnsRegistered,"Registered with Office of National Statistics. 
Takes the Values
·         Y - Yes
·            - Please Specify",Nchar(1),,,,2,2,2,1,2
NHIC_HEP_135,Comorbidity,,CurrentWeeklyAlcoholIntake,Current weekly alcohol intake in units. Validation: 0 < current intake < 500,Integer,,,,1,1,2,,2
NHIC_HEP_136,Comorbidity,,InjectedInLastSixMonths,Y/N,Nchar(1),,,,,,2,1,2
NHIC_HEP_137,Comorbidity,,CigarettesPerDay,Current cigarette use as no. of cigarettes per day. Validation 0 < cigs per day <=100,Integer,,,,1,1,2,1,2
NHIC_HEP_138,Comorbidity,,CurrentWeeklyAlcoholIntake,Current weekly alcohol intake in units. Validation: 0 < current intake < 500,Integer,,,,1,1,2,,2
NHIC_HEP_139,Comorbidity,,,Validation: 0 < current intake < 500,,,,,,,2,1,2
NHIC_HEP_140,Comorbidity,,InjectedInLastSixMonths,Y/N,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_141,Comorbidity,,CigarettesPerDay,Current cigarette use as no. of cigarettes per day,Integer,,,,1,1,2,1,2
NHIC_HEP_142,Comorbidity,,RenalFailure,Renal failure. Y/N,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_143,Comorbidity,,DateRenalFailureDiagnosed ,Date of first dialysis,Datetime,,,,2,2,2,1,2
NHIC_HEP_144,Comorbidity,,Diabetes,Diabetes. Y/N,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_145,Comorbidity,,DiabetesDiagnosedDate,"If Diabetes = yes, date when diagnosed",Datetime,,,,2,2,2,1,2
NHIC_HEP_146,Comorbidity,,DiabetesTreatmentCode,"If Diabetes = yes, treatment.  References table DiabetesTreatmentCodes in national HCV dataset.",Nchar(1),,,,1,1,2,,2
NHIC_HEP_147,Comorbidity,,Cancer,Cancer. Y/N,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_148,Comorbidity,,CancerSiteCode,"If Yes to cancer, which site? References table CancerSiteCode in national HCV dataset.",Nchar(1),,,,1,1,2,1,2
NHIC_HEP_149,Comorbidity,,CancerSiteOther,Other cancer site,Nvarchar(30),,,,2,2,2,1,2
NHIC_HEP_150,Comorbidity,,DateCancerDiagnosed,"If yes to cancer, year of diagnosis",Datetime,,,,2,2,2,1,2
NHIC_HEP_151,Comorbidity,,DepressionTreatment,Ever treated for depression (requiring drugs or ???). Y/N,Nchar(1),,,,2,2,2,,2
NHIC_HEP_152,Comorbidity,,DateDepressionDiagnosed,Date depression diagnosed if evener treated for depression,Datetime,,,,2,2,2,1,2
NHIC_HEP_153,Comorbidity,,DepressionAttemptedSuicide,Ever attempted suicide. Y/N,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_154,Comorbidity,,DepressionHospitalAdmission,Ever admitted to hospital for depression. Y/N,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_155,Comorbidity,,CoagulationBleedingDisorder,Coagulation/bleeding disorder. Y/N,Y/N,,,,2,2,2,,2
NHIC_HEP_156,Comorbidity,,CoagulationBleeding_,"If Y, specify – pick one or more from list into free text field or type if any not in list. See table CoagBleedingDisorderCodes in national HCV dataset for drop down list members.",Nvarchar(100),,,,1,1,2,1,2
NHIC_HEP_157,Comorbidity,,DisorderDetails,,,,,,,,2,1,2
NHIC_HEP_158,Comorbidity,,DiagnosedCryoglobulinaemia,Diagnosed Cryoglobulinaemia. Y/N + Plesase Select…,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_159,Comorbidity,,DateCryoglobulinaemiaDiagnosed,Date Cryoglobulinaemia Diagnosed,datetime,,,,2,2,2,1,2
NHIC_HEP_160,Comorbidity,,PortalHypertensionCode,Records evidence of portal hypertension.  References PortalHypertensionCodes,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_161,Imaging,Ultrasound,Ultrasound event date,,datetime,,,,,,2,1,2
NHIC_HEP_162,Imaging,Ultrasound,Ultrasound report of liver and/or spleen,,free text,,,,2,2,2,1,2
NHIC_HEP_163,Imaging,Fibroscan,Fibroscan event date,,datetime,,,,2,2,2,1,2
NHIC_HEP_164,Imaging,Fibroscan,Fibroscan Stiffness estimated in kPA,,numeric,,,,,,2,1,2
NHIC_HEP_165,Imaging,CT,CT Abdomen/liver event date,,datetime,,,,,,2,1,2
NHIC_HEP_166,Imaging,CT,CT Abdomen/liver,,free text,,,,,,2,1,2
NHIC_HEP_167,Imaging,MRI,MRI Abdomen/liver event date,,datetime,,,,,,2,1,2
NHIC_HEP_168,Imaging,MRI,MRI Abdomen/liver,,free text,,,,,,2,1,
NHIC_HEP_169,HIV diagnosis,,DiagnosedHivCoinfection,Diagnosed HIV co-infection. References table HivDiagnosisCodes,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_170,HIV diagnosis,,HIVInfectionDate,"If HIV co-infection = Yes, specify the date of diagnosis",Datetime,,,,2,2,2,1,2
NHIC_HEP_171,HIV diagnosis,,LastnegativeHIVtest,Date of last negative test,Datetime,,,,2,2,2,1,2
NHIC_HEP_172,HIV diagnosis,,CD4,CD4 cell count,I,,,,1,1,2,1,2
NHIC_HEP_173,Liver disease staging,,DateCirrhosisDiagnosed,"If cirrhosis, date diagnosed",Datetime,,,,2,2,2,1,2
NHIC_HEP_174,Liver disease staging,,CirrhosisDiagnosisMethodCode,"If cirrhosis, mode of diagnosis. References table CirrhosisDiagnosisMethodCodes in national HCV dataset.",Nchar(1),,,,1,1,2,1,2
NHIC_HEP_175,Liver disease staging,,DateDecompensationDiagnosed,"If present,  date Decompensation diagnosed",datetime,,,,2,2,2,1,2
NHIC_HEP_176,Liver disease staging,,DecompensationDiagnosisMethodCode,"If present, mode of diagnosis of Decompensation. References table DecompensationDiagnosisMethodCodes in national HCV dataset.",Nchar(1),,,,1,1,2,1,2
NHIC_HEP_177,Liver disease staging,,DateHCCDiagnosed,"If present, date when Hepatocellular carcinoma diagnosed",datetime,,,,2,2,2,1,2
NHIC_HEP_178,Liver disease staging,,HCCDiagnosisMethodCode,"If present, how Hepatocellular carcinoma diagnosed. References table  HCCDiagnosisMethodCodes in national HCV dataset.",Nchar(1),,,,1,1,2,1,2
NHIC_HEP_179,Liver disease staging,,LiverTransplantationDate,Date of Liver transplantation,Datetime,,,,2,2,2,1,2
NHIC_HEP_180,Liver disease staging,,PreviousLiverBiopsies,Records if patient has had any liver biopsies prior to enrolment.  References table Yes/No,Y/N,,,,2,2,2,1,2
NHIC_HEP_181,Liver disease staging,,PreviousTreatmentEpisodes,Records if patient has had any past treatment episode(s) with outcome known prior to enrolment.  References table Yes/No,Y/N,,,,2,2,2,1,2
NHIC_HEP_182,Liver disease staging,,? Childs Pugh Score,calculated from lab tets and clinical examination,,,,,,,2,1,2
NHIC_HEP_183,Liver disease staging,,? Meld score,calculated from lab tests only,,,,,,,2,1,2
NHIC_HEP_184,Nonviral medications,,Date Medication Recorded,Date recorded,Datetim,,,,2,2,2,1,2
NHIC_HEP_185,Nonviral medications,,Mediciation StudyNumber,References PatientDetails in national HCV dataset.,Nchar(8),,,,2,2,2,1,2
NHIC_HEP_186,Nonviral medications,,MedicationFamilyCode,Category of medication. References table MedicationFamilyCodes in national HCV dataset.,Nchar(3),,,,1,1,2,1,2
NHIC_HEP_187,Nonviral medications,,MedicationInUse,References table Yes/No,Y/N,,,,2,2,2,1,2
NHIC_HEP_188,Death,,DoD,Date of Death,Datetime,,,,2,2,2,1,2
NHIC_HEP_189,Death,,AgeAtDeath,Age at Death (in years) Calculated by system as DoD - DoB,Int,,,,1,1,2,1,2
NHIC_HEP_190,Death,,OriginalUnderlyingICD,,Nchar(5),,,,,,,,2
NHIC_HEP_191,Death,,HcvOnDeathCert,Record if HCV mentioned on death certificate. Y/N,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_192,Death,,AlcolholOnDeathCert,Record if Alcohol mentioned on death certificate. Y/N.,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_193,Death,,DeathHcvRelated,Death is related to HCV. Y/N.,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_194,Death,,DeathOtherInfo,Used to record additional ICD codes and any other narrative from death cert.,Nvarchar(255),,,,2,2,2,1,2
NHIC_HEP_195,Death,,HBvOnDeathCert,Record if HCV mentioned on death certificate. Y/N.,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_196,Death,,AI on death certificate,,Yes/No,,,,,,2,1,2
NHIC_HEP_197,Death,,Liver on Death Certificate,,Yes/No,,,,,,2,1,2
NHIC_HEP_198,Death,,HCC on death certificate,,Yes/No,,,,,,2,1,2
NHIC_HEP_199,Biopsy,,Biopsy StudyNumber,Primary key and Foreign key referencing table PatientDetails,Nchar(8),,,,2,2,2,1,2
NHIC_HEP_200,Biopsy,,BiopsyDate~,,datetime,,,,,,2,1,2
NHIC_HEP_201,Biopsy,,BiopsyNumber,"1,2,3 etc",Int,,,,2,2,2,1,2
NHIC_HEP_202,Biopsy,,Local laboratory number~,"This is essential if we want to go back and retrieve the biopsy (and is obviously different from “Biopsy number” but the terminology can be confusing). Different labs may record their lab nos. differently, eg with letters and numbers and slashes (/) so I suspect this will have to be free text",Nvarchar(20),,,,2,2,2,1,2
NHIC_HEP_203,Biopsy,,Pathologist,Name of pathologist (free text,Nvarchar(20),,,,2,2,2,1,2
NHIC_HEP_204,Biopsy,,IsNecroinflammatory~,IS necroinflammatory grade: 0-18 inc,int,,,,1,1,2,1,2
NHIC_HEP_205,Biopsy,,IsFibrosisStage~,IS fibrosis stage: 0-6 inc,int,,,,1,1,2,1,2
NHIC_HEP_206,Biopsy,,IsInterfaceHepatitis,IS interface hepatitis: 0-4 inc,int,,,,1,1,2,1,2
NHIC_HEP_207,Biopsy,,IsConfluentNecrosis,IS confluent necrosis 0-6 inc,int,,,,1,1,2,1,2
NHIC_HEP_208,Biopsy,,IsFocalNecrosis,IS focal necrosis 0-4 inc,Int,,,,1,1,2,1,2
NHIC_HEP_209,Biopsy,,IsPortalInflammation,IS portal inflammation 0-4 inc,Int,,,,1,,2,1,2
