Data item No.,Section,Data Item Name,Data Item Description,"A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? ",Comments
NHIC_TRA_24,LIVING DONOR DEMOGRAPHICS,Surname,Surname or family name of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_25,LIVING DONOR DEMOGRAPHICS,Maiden name,The surname of an IDENTIFIED INDIVIDUAL at birth,4,,,,,
NHIC_TRA_26,LIVING DONOR DEMOGRAPHICS,Alias/es,Any alternate names an IDENTIFIED INDIVIDUAL may be known by,1,3,1,3,3,
NHIC_TRA_27,LIVING DONOR DEMOGRAPHICS,Date of birth,The date of birth of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_28,LIVING DONOR DEMOGRAPHICS,NHS Number,Unique identifier of an IDENTIFIED INDIVIDUAL in the NHS in England and Wales,1,1,1,1,1,
NHIC_TRA_29,LIVING DONOR DEMOGRAPHICS,Postcode,Postcode of the current home address of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_30,LIVING DONOR DEMOGRAPHICS,House Number/Name,House number or name at an IDENTIFIED INDIVIDUAL's current home address,1,1,1,1,1,
NHIC_TRA_31,LIVING DONOR DEMOGRAPHICS,Address Line,Any additional address lines of an IDENTIFIED INDIVIDUAL's current home address,2,3,1,3,3,
NHIC_TRA_32,LIVING DONOR DEMOGRAPHICS,City,City where an IDENTIFIED INDIVIDUAL currently lives,1,1,1,1,1,
NHIC_TRA_33,LIVING DONOR DEMOGRAPHICS,County,County where an IDENTIFIED INDIVIDUAL currently lives,1,1,1,1,1,
NHIC_TRA_34,LIVING DONOR DEMOGRAPHICS,Country,Country where an IDENTIFIED INDIVIDUAL currently lives,1,1,1,1,1,
NHIC_TRA_35,LIVING DONOR DEMOGRAPHICS,Gender,Current gender of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_36,LIVING DONOR DEMOGRAPHICS,Ethnicity,Coded ethnic identity of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_37,LIVING DONOR DEMOGRAPHICS,GP Surgery,The GP Surgery where an IDENTIFIED INDIVIDUAL is currently registered,1,1,1,1,1,
NHIC_TRA_38,LIVING DONOR DEMOGRAPHICS,Blood Group,A/B/O blood group of an IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_39,LIVING DONOR DEMOGRAPHICS,Blood Rhesus,An IDENTIFIED INDIVIDUAL's rhesus blood group,1,1,1,1,1,
NHIC_TRA_40,LIVING DONOR DEMOGRAPHICS,NHSBT/ODT Number,"An IDENTIFIED INDIVIDUAL's ODT identifier, used to link with NHSBT database records",4,2,1,1,3,ODT no allocated at time of paired exchange or altrustic registration.Direct donors allocated no post donation
NHIC_TRA_41,LIVING DONOR DEMOGRAPHICS,Additional NHSBT/ODT Number/s,"Any additional ODT identifiers which may have been used for an IDENTIFIED INDIVIDUAL. Usually there is only one, but occasionally there may be two or more.",4,,,,,"Unless you mean date of birth,NHS etc which is recorded"
NHIC_TRA_42,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,Age,The age in years of a NON-IDENTIFIED INDIVIDUAL,2,2,1,1,3,
NHIC_TRA_43,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,Gender,The gender of a NON-IDENTIFIED INDIVIDUAL,2,2,1,1,3,
NHIC_TRA_44,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,Cause of death,The coded cause of death of a a NON-IDENTIFIED INDIVIDUAL,2,2,1,3,3,Deceased donors patchy and incomplete recording..We are reliant on individuals informing us of deaths.
NHIC_TRA_45,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,Ethnicity,The coded ethnicity of a NON-IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_46,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,Comorbidity diagnosis,Any comorbidities of a a NON-IDENTIFIED INDIVIDUAL known at time of transplant,1,1,1,1,2,Data as accurate as person entering data.Deceased donor details obtained from EOS
NHIC_TRA_47,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,Comorbidity diagnosis date,"Date of diagnosis of any comorbidities of a NON-IDENTIFIED INDIVIDUAL, if known",1,1,1,1,2,Data as accurate as person entering data.Deceased donor details obtained from EOS
NHIC_TRA_48,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,Blood Group,A/B/O blood group of a NON-IDENTIFIED INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_49,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,Blood Rhesus,A NON-IDENTIFIED INDIVIDUAL's rhesus blood group,1,1,1,1,1,
NHIC_TRA_50,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,NHSBT/ODT Number,"A NON-IDENTIFIED INDIVIDUAL's ODT identifier, used to link with NHSBT database records",1,1,1,1,1,
NHIC_TRA_51,CADAVERIC/ALTRUISTIC DONOR DEMOGRAPHICS,Additional NHSBT/ODT Number/s,"Any additional ODT identifiers which may have been used for a NON-IDENTIFIED INDIVIDUAL. Usually there is only one, but occasionally there may be two or more.",4,,,,,"Unless you mean date of birth,NHS etc which is recorded"
NHIC_TRA_52,RECIPIENT MEDICAL HISTORY,Cause of ESRD,Cause of End Stage Renal Disease in a RECIPIENT,2,2,1,2,,
NHIC_TRA_53,RECIPIENT MEDICAL HISTORY,Diagnosis Date for ESRD,Date on which a RECIPIENT was diagnosed with End Stage Renal Disease,2,2,1,2,,
NHIC_TRA_54,RECIPIENT MEDICAL HISTORY,Postcode at ESRD diagnosis,Postcode of a RECIPIENT at time of diagnosis with End Stage Renal Disease,2,2,1,2,,
NHIC_TRA_55,RECIPIENT MEDICAL HISTORY,Preemptive transplant?,Was the transplant performed on the RECIPIENT before dialysis was required?,2,2,1,2,,
NHIC_TRA_56,RECIPIENT MEDICAL HISTORY,Dialysis Modality,Modality used for a RECIPIENT's DIALYSIS PERIOD,2,2,1,2,,
NHIC_TRA_57,RECIPIENT MEDICAL HISTORY,Dialysis modality start date,Start of DIALYSIS PERIOD using this mode of dialysis,2,2,1,2,,
NHIC_TRA_58,RECIPIENT MEDICAL HISTORY,Dialysis modality end date,End of DIALYSIS PERIOD using this mode of dialysis,2,2,1,2,,
NHIC_TRA_59,RECIPIENT MEDICAL HISTORY,No. of previous transplants,number of transplants a RECIPIENT had prior to the most recent one,2,2,1,2,,
NHIC_TRA_60,RECIPIENT MEDICAL HISTORY,Family history: diagnosis,Diagnosis of a FAMILY HISTORY condition in a RECIPIENT,3,3,4,4,3,Inconcistent data collected
NHIC_TRA_61,RECIPIENT MEDICAL HISTORY,Family history: diagnosis date,Date of diagnosis of a FAMILY HISTORY condition,3,3,3,4,3,Inconcistent data collected
NHIC_TRA_62,RECIPIENT MEDICAL HISTORY,Family history: relationship,Relationship of subject of FAMILY HISTORY to the RECIPIENT,3,3,3,4,3,Inconcistent data collected
NHIC_TRA_63,RECIPIENT MEDICAL HISTORY,Comorbidity diagnosis,Comorbid condition diagnosed in a RECIPIENT,2,2,1,2,3,
NHIC_TRA_64,RECIPIENT MEDICAL HISTORY,Comorbidity diagnosis date,Date at which a RECIPIENT was diagnosed with a comorbidity,2,2,1,2,3,
NHIC_TRA_65,RECIPIENT MEDICAL HISTORY,Smoker?,"Coded value representing whether the RECIPIENT is a current, previous or non-smoker",2,2,1,3,3,
NHIC_TRA_66,TRANSPLANT DETAILS,Date of transplant,Date of a TRANSPLANT,2,2,1,1,2,
NHIC_TRA_67,TRANSPLANT DETAILS,Transplant Centre,Centre at which a TRANSPLANT was performed on a RECIPIENT and a DONOR,2,2,1,2,2,
NHIC_TRA_68,TRANSPLANT DETAILS,Recipient hospital number at transplant centre,Hospital number of a RECIPIENT at the centre where a TRANSPLANT was performed,1,1,1,1,1,
NHIC_TRA_69,TRANSPLANT DETAILS,Recipient hospital number at followup unit,Hospital number of a RECIPIENT at the centre followup care happened after a TRANSPLANT,1,1,1,1,1,if our recipients are followed up at centre other than oxford then they will use the localhospital number.
NHIC_TRA_70,TRANSPLANT DETAILS,Type of transplant,"Type of TRANSPLANT, eg cadaveric DBD/DCD, Live related/unrelated",2,2,1,2,3,
NHIC_TRA_71,TRANSPLANT DETAILS,Relationship between recipient and donor,Degree of relatedness between RECIPIENT and DONOR in a TRANSPLANT,1,1,1,2,1,on renal database(proton)
NHIC_TRA_72,TRANSPLANT DETAILS,Laterality,"Was the TRANSPLANT of a left or right kidney, or a dual transplant?",3,3,1,2,3,This data is kep in different formats by  different teams.
NHIC_TRA_73,TRANSPLANT DETAILS,Organs transplanted,The organs which were involved in the TRANSPLANT,,,,,,
NHIC_TRA_74,TRANSPLANT DETAILS,Local/imported,Whether the TRANSPLANT was of local or imported organs,2,2,1,2,3,LD team collects on excell spreadsheet for altruistic offers and paired exchange
NHIC_TRA_75,TRANSPLANT DETAILS,Pre-implantation biopsy K score,The Karpinski score given to the pre-implantation biopsy performed on a kidney used in a TRANSPLANT,,,,,,
NHIC_TRA_76,TRANSPLANT DETAILS,Pre-implantation biopsy K score (second kidney),"The Karpinski score given to the second kidney used in a TRANSPLANT, if it was a dual transplant",,,,,,
NHIC_TRA_77,TRANSPLANT DETAILS,Failure date,"Failure date of a TRANSPLANT. Defined as date of return to dialysis or transplant list, whichever is earlier.",2,2,1,3,3,Difficult to get timely date of failure info esp if patients followed up by local service(external to oxford).We are not always informed of date of failure.
NHIC_TRA_78,TRANSPLANT DETAILS,ABOi?,Was there a blood group incompatibility between the recipient and donor of a TRANSPLANT?,2,2,1,2,1,recorded for all incompatibale transplant only
NHIC_TRA_79,TRANSPLANT DETAILS,ABO antibody titre,ABO ANTIBODY TITRE level,3,3,1,2,3,
NHIC_TRA_80,TRANSPLANT DETAILS,ABO antibody date,Date of ABO ANTIBODY TITRE,3,3,1,2,3,
NHIC_TRA_81,TRANSPLANT DETAILS,HLAi?,Was there an HLA incompatibility between the recipient and donor of a TRANSPLANT?,2,2,1,2,3,recorded for all HLA incompatible transplants only
NHIC_TRA_82,TRANSPLANT DETAILS,Previous bone marrow transplant from same donor?,Did the recipient receive bone marrow from the donor prior to the TRANSPLANT?,4,,,,,
NHIC_TRA_83,TRANSPLANT DETAILS,Cold ischaemic time/hours,Number of hours the the kidney spent on ice prior to the TRANSPLANT,2,2,1,2,3,
NHIC_TRA_84,TRANSPLANT DETAILS,Warm ischaemic time/minutes,Number of minutes the kidney spent out of ice prior to the TRANSPLANT,2,2,1,2,3,
NHIC_TRA_85,HLA,HLA mismatch A/B/DR,"Number of mismatches at A, B and DR loci between recipient and donor of a TRANSPLANT",2,2,1,2,3,
NHIC_TRA_86,HLA,HLA typing date,Date at which an INDIVIDUAL was assigned an HLA TYPE,1,1,1,1,1,
NHIC_TRA_87,HLA,HLA typing method,Method by which an HLA TYPE was assigned,2,2,1,2,2,
NHIC_TRA_88,HLA,HLA locus,LOCUS of an HLA TYPE,1,1,1,1,1,
NHIC_TRA_89,HLA,HLA value,Value at LOCUS of an HLA TYPE,2,2,1,2,3,
NHIC_TRA_90,INDUCTION,Induction regime (summary),Summary of the induction regime given before a TRANSPLANT,3,3,2,1,3,Induction regime is only decided pre-transplant for LD recipients or patients pre-identifed in listing meeting as needing off -protocol immunosuppression
NHIC_TRA_91,INDUCTION,Induction drug,Name of INDUCTION DRUG,1,1,1,1,1,
NHIC_TRA_92,INDUCTION,Induction drug administration date,Date of administration of INDUCTION DRUG,1,1,1,1,1,
NHIC_TRA_93,INDUCTION,Induction drug administration dose,Dose of INDUCTION DRUG given,1,1,1,1,1,
NHIC_TRA_94,INDUCTION,Induction drug administration unit,Unit of dose of INDUCTION DRUG,1,1,1,1,1,
NHIC_TRA_95,INDUCTION,Induction procedure,INDUCTION PROCEDURE given (eg immunoadsorbtion),3,3,2,3,2,ABOi/HLAi desensitation LD transplants have an individualised IA/HD schedule in their notes from 2-3 weeks pre-Tx
NHIC_TRA_96,INDUCTION,Induction procedure date,Date of administration of INDUCTION PROCEDURE,3,3,2,3,2,
NHIC_TRA_97,RECIPIENT SEROLOGY ,CMV Pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_98,RECIPIENT SEROLOGY ,CMV date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_99,RECIPIENT SEROLOGY ,EBV Pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_100,RECIPIENT SEROLOGY ,EBV date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_101,RECIPIENT SEROLOGY ,VZV Pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_102,RECIPIENT SEROLOGY ,VZV date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_103,RECIPIENT SEROLOGY ,Toxoplasma pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_104,RECIPIENT SEROLOGY ,Toxoplasma date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_105,RECIPIENT SEROLOGY ,HIV pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_106,RECIPIENT SEROLOGY ,HIV date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_107,DONOR SEROLOGY,CMV Pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_108,DONOR SEROLOGY,CMV date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_109,DONOR SEROLOGY,EBV Pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_110,DONOR SEROLOGY,EBV date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_111,DONOR SEROLOGY,VZV Pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_112,DONOR SEROLOGY,VZV date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_113,DONOR SEROLOGY,Toxoplasma pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_114,DONOR SEROLOGY,Toxoplasma date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_115,DONOR SEROLOGY,HIV pos/neg,SEROLOGY RESULT of an INDIVIDUAL,1,1,1,1,1,
NHIC_TRA_116,DONOR SEROLOGY,HIV date,Date of SEROLOGY RESULT,1,1,1,1,1,
NHIC_TRA_117,DRUG PRESCRIPTIONS,Drug name,Brand name of a DRUG PRESCRIPTION,1,1,1,1,1,"Brand name only vital on critical dose drugs eg. Ciclosporin, tacrolimus"
NHIC_TRA_118,DRUG PRESCRIPTIONS,Drug start date,Start date of a DRUG PRESCRIPTION,1,1,1,3,1,
NHIC_TRA_119,DRUG PRESCRIPTIONS,Drug stop date,End date of a DRUG PRESCRIPTION,1,1,1,3,1,"Stop dates should always be recorded on renal proton when dose adjustments made,drug stopped or new drug started. But they are not 100% recorded and may be added retrospectively with incorrect stop date"
NHIC_TRA_120,DRUG PRESCRIPTIONS,Drug current as of date,Date at which a DRUG PRESCRIPTION was known to be current,1,1,1,1,1,Using renal proton the start date is implicit in the drug being a current medication. 
NHIC_TRA_121,DRUG PRESCRIPTIONS,Dose,Dose of a DRUG PRESCRIPTION,1,1,1,1,1,
NHIC_TRA_122,DRUG PRESCRIPTIONS,Dose unit,Dose unit of a DRUG PRESCRIPTION,1,1,1,1,1,
NHIC_TRA_123,DRUG PRESCRIPTIONS,Dose frequency,Frequency of administration of a DRUG PRESCRIPTION,1,1,1,1,1,
NHIC_TRA_124,POST-TRANSPLANT FOLLOWUP,Primary nonfunction/Immediate function/DGF,"Coded value representing whether the function of the kidney TRANSPLANT was immediate, delayed or absent",3,3,3,4,1,
NHIC_TRA_125,POST-TRANSPLANT FOLLOWUP,Dialysis modality,Modality of any DIALYSIS PERIOD occurring after the TRANSPLANT,2,2,1,2,2,
NHIC_TRA_126,POST-TRANSPLANT FOLLOWUP,Dialysis date/time,Date and time of any DIALYSIS PERIOD occurring after a TRANSPLANT,2,2,1,2,2,
NHIC_TRA_127,POST-TRANSPLANT FOLLOWUP,Height,HEIGHT MEASUREMENT,3,3,1,4,1,need to educate staff to input data-usually recorded on Proton
NHIC_TRA_128,POST-TRANSPLANT FOLLOWUP,Height unit,HEIGHT MEASUREMENT unit,3,3,1,4,1,
NHIC_TRA_129,POST-TRANSPLANT FOLLOWUP,Height date,Date of HEIGHT MEASUREMENT,3,3,1,4,1,
NHIC_TRA_130,POST-TRANSPLANT FOLLOWUP,Weight,WEIGHT MEASUREMENT,3,3,1,3,1,
NHIC_TRA_131,POST-TRANSPLANT FOLLOWUP,Weight unit,WEIGHT MEASUREMENT unit,3,3,1,3,1,
NHIC_TRA_132,POST-TRANSPLANT FOLLOWUP,Weight date,Date of WEIGHT MEASUREMENT,3,3,1,4,1,
NHIC_TRA_133,POST-TRANSPLANT FOLLOWUP,Blood pressure,BLOOD PRESSURE MEASUREMENT,3,3,1,3,1,
NHIC_TRA_134,POST-TRANSPLANT FOLLOWUP,Blood pressure unit,BLOOD PRESSURE MEASUREMENT unit,3,3,1,3,1,
NHIC_TRA_135,POST-TRANSPLANT FOLLOWUP,Blood pressure date/time,Date of BLOOD PRESSURE MEASUREMENT,3,3,1,3,1,
NHIC_TRA_136,POST-TRANSPLANT FOLLOWUP,HLA antibody date,Date of HLA ANTIBODY test,1,1,1,1,1,
NHIC_TRA_137,POST-TRANSPLANT FOLLOWUP,HLA antibody locus,Locus at which  HLA ANTIBODY was tested,2,2,1,4,2,should be programmed by Nov 13
NHIC_TRA_138,POST-TRANSPLANT FOLLOWUP,HLA antibody value,Locus value/allele at which HLA ANTIBODY was tested,2,2,1,4,2,should be programmed by Nov 13
NHIC_TRA_139,POST-TRANSPLANT FOLLOWUP,HLA antibody result (yes/no/weak),Result of HLA ANTIBODY assay,2,2,1,4,2,should be programmed by Nov 13
NHIC_TRA_140,CLINICAL EVENTS,Clinical event date/time,Date of a CLINICAL EVENT that occurs to an INDIVIDUAL,2,2,3,4,2,good coverage but requires manual entry. May benefit from more resource. EPR will allow direct digital entry so wil improve recording
NHIC_TRA_141,CLINICAL EVENTS,Clincal event description,Specifies a CLINICAL EVENT that occurs to an INDIVIDUAL,2,2,3,4,2,
NHIC_TRA_142,BLOOD TESTS,Serum creatinine level,BLOOD RESULT level,1,1,1,1,1,
NHIC_TRA_143,BLOOD TESTS,Serum creatinine unit,BLOOD RESULT unit,1,1,1,1,1,
NHIC_TRA_144,BLOOD TESTS,Serum creatinine date/time,BLOOD RESULT date and time,1,1,1,1,1,
NHIC_TRA_145,BLOOD TESTS,Blood glucose level,BLOOD RESULT level,1,1,1,1,1,
NHIC_TRA_146,BLOOD TESTS,Blood glucose unit,BLOOD RESULT unit,1,1,1,1,1,
NHIC_TRA_147,BLOOD TESTS,Blood glucose date/time,BLOOD RESULT date and time,1,1,1,1,1,
NHIC_TRA_148,BLOOD TESTS,Blood glucose level,BLOOD RESULT level,1,1,1,1,1,
NHIC_TRA_149,BLOOD TESTS,Blood glucose unit,BLOOD RESULT unit,1,1,1,1,1,
NHIC_TRA_150,BLOOD TESTS,Blood glucose date/time,BLOOD RESULT date and time,1,1,1,1,1,
NHIC_TRA_151,BLOOD TESTS,Tacrolimus level,BLOOD RESULT level,1,1,1,1,1,
NHIC_TRA_152,BLOOD TESTS,Tacrolimus level unit,BLOOD RESULT unit,1,1,1,1,1,
NHIC_TRA_153,BLOOD TESTS,Tacrolimus level date/time,BLOOD RESULT date and time,1,1,1,1,1,
NHIC_TRA_154,BLOOD TESTS,Ciclosporine level,BLOOD RESULT level,1,1,1,1,1,
NHIC_TRA_155,BLOOD TESTS,Ciclosporine level unit,BLOOD RESULT unit,1,1,1,1,1,
NHIC_TRA_156,BLOOD TESTS,Ciclosporine level date/time,BLOOD RESULT date and time,1,1,1,1,1,
NHIC_TRA_157,BLOOD TESTS,HbA1C level,BLOOD RESULT level,1,1,1,1,1,
NHIC_TRA_158,BLOOD TESTS,HbA1C level unit,BLOOD RESULT unit,1,1,1,1,1,
NHIC_TRA_159,BLOOD TESTS,HbA1C level date/time,BLOOD RESULT date and time,1,1,1,1,1,
NHIC_TRA_160,BLOOD TESTS,CMV viral load,BLOOD RESULT level,1,1,1,1,1,
NHIC_TRA_161,BLOOD TESTS,CMV viral load unit,BLOOD RESULT unit,1,1,1,1,1,
NHIC_TRA_162,BLOOD TESTS,CMV viral load date/time,BLOOD RESULT date and time,1,1,1,1,1,
NHIC_TRA_163,BLOOD TESTS,EBV viral load,BLOOD RESULT level,1,1,1,1,,
NHIC_TRA_164,BLOOD TESTS,EBV viral load unit,BLOOD RESULT unit,1,1,1,1,,
NHIC_TRA_165,BLOOD TESTS,EBV viral load date/time,BLOOD RESULT date and time,1,1,1,1,,
NHIC_TRA_166,BLOOD TESTS,BK viral load (blood),BLOOD RESULT level,1,1,1,1,,
NHIC_TRA_167,BLOOD TESTS,BK viral load (blood) unit,BLOOD RESULT unit,1,1,1,1,,
NHIC_TRA_168,BLOOD TESTS,BK viral load (blood) date/time,BLOOD RESULT date and time,1,1,1,1,,
NHIC_TRA_169,BLOOD TESTS,Blood cell count date/time,BLOOD COUNT date and time,1,1,1,1,,
NHIC_TRA_170,BLOOD TESTS,White Blood Cell count,BLOOD COUNT white blood cells,1,1,1,1,,
NHIC_TRA_171,BLOOD TESTS,White Blood Cell count unit,BLOOD COUNT wbc unit,1,1,1,1,,
NHIC_TRA_172,BLOOD TESTS,Red Blood Cell count,BLOOD COUNT red blood cells,1,1,1,1,,
NHIC_TRA_173,BLOOD TESTS,Red Blood Cell count unit,BLOOD COUNT rbc unit,1,1,1,1,,
NHIC_TRA_174,BLOOD TESTS,Haemoglobin,BLOOD COUNT haemoglobin,1,1,1,1,,
NHIC_TRA_175,BLOOD TESTS,Haemoglobin unit,BLOOD COUNT haemoglobin unit,1,1,1,1,,
NHIC_TRA_176,BLOOD TESTS,Lymphocytes,BLOOD COUNT lymphocytes,1,1,1,1,,
NHIC_TRA_177,BLOOD TESTS,Lymphocytes unit,BLOOD COUNT lymphocytes unit,1,1,1,1,,
NHIC_TRA_178,BLOOD TESTS,Basophils,BLOOD COUNT basophils,1,1,1,1,,
NHIC_TRA_179,BLOOD TESTS,Basophils unit,BLOOD COUNT basophils unit,1,1,1,1,,
NHIC_TRA_180,BLOOD TESTS,Monocytes,BLOOD COUNT monocytes ,1,1,1,1,,
NHIC_TRA_181,BLOOD TESTS,Monocytes unit,BLOOD COUNT monocytes unit,1,1,1,1,,
NHIC_TRA_182,BLOOD TESTS,Eosinophils,BLOOD COUNT eosinophils,1,1,1,1,,
NHIC_TRA_183,BLOOD TESTS,Eosinophils unit,BLOOD COUNT eosinophils unit,1,1,1,1,,
NHIC_TRA_184,BLOOD TESTS,Platelets,BLOOD COUNT platelets,1,1,1,1,,
NHIC_TRA_185,BLOOD TESTS,Platelets unit,BLOOD COUNT platelets unit,1,1,1,1,,
NHIC_TRA_186,BLOOD TESTS,Neutrophils,BLOOD COUNT neutrophils,1,1,1,1,,
NHIC_TRA_187,BLOOD TESTS,Neutrophils unit,BLOOD COUNT neutrophils unit,1,1,1,1,,
NHIC_TRA_188,URINE TESTS,Urine dip date/time,Date and time of URINE DIP test,1,1,1,1,,
NHIC_TRA_189,URINE TESTS,Leucocyte dip result,URINE DIP result,1,1,1,1,,
NHIC_TRA_190,URINE TESTS,Nitrite dip result,URINE DIP nitrite result,1,1,1,1,,
NHIC_TRA_191,URINE TESTS,pH dip result,URINE DIP pH result,1,1,1,1,,
NHIC_TRA_192,URINE TESTS,Protein dip result,URINE DIP protein result,1,1,1,1,,
