Data item No.,Section,Sub-section,Data Item Name,Data Item Description,Value domain,Link to existing definition,Notes from GD/JCIS,"[Optional]
Local identifier",Location,Column1,"A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? "
NHIC_CAN_22,CORE,REFERRALS,CARE PROFESSIONAL MAIN SPECIALTY CODE,A unique code identifying each MAIN SPECIALTY designated by Royal Colleges. This is the same as the OCCUPATION CODES describing specialties. (Can be derived from consultant code).,"Main Specialty Code
",CARE PROFESSIONAL MAIN SPECIALTY CODE,"NOT SHOWN ON JCIS
(A field is available in Consultants table, but often empty)",CR0220,ICHIS,,1,1,1,1,1
NHIC_CAN_23,CORE,REFERRALS,ORGANISATION SITE CODE (PROVIDER FIRST SEEN),The  ORGANISATION SITE CODE of the Health Care Provider at the first contact with the PATIENT.,"see ORGANISATION SITE CODE
",SITE CODE (OF PROVIDER FIRST SEEN),Name shown. Code available in JCIS tables.,CR1410,ICHIS,,1,1,1,1,1
NHIC_CAN_24,CORE,REFERRALS,DATE FIRST SEEN (CANCER SPECIALIST),This is the date that the PATIENT is first seen by the appropriate specialist for cancer care within a Cancer Care Spell. This is the PERSON or PERSONS who are most able to progress the diagnosis of the primary tumour. ,"
",DATE FIRST SEEN (CANCER SPECIALIST),How can this be pinned down?,CR1360,ICHIS,,1,1,1,1,1
NHIC_CAN_25,CORE,REFERRALS,ORGANISATION SITE CODE (PROVIDER FIRST CANCER SPECIALIST),The  ORGANISATION SITE CODE of the ORGANISATION acting as Health Care Provider where the PATIENT is first seen by an appropriate cancer specialist on the DATE FIRST SEEN (CANCER SPECIALIST).,"see ORGANISATION SITE CODE
",SITE CODE (OF PROVIDER FIRST CANCER SPECIALIST),Name shown. Code available in JCIS tables.,CR1400,ICHIS,,1,1,1,1,1
NHIC_CAN_26,CORE,REFERRALS,CANCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS,"CANCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS is recorded to enable tracking of the status of REFERRAL REQUESTS for PATIENTS referred with a suspected cancer, or referred with breast symptoms with cancer not originally suspected.
For COSD this can be used for all patients regardless of referral route.","14 : Suspected primary cancer
09 : Under investigation following symptomatic referral, cancer not suspected (breast referrals only) (see note 1)
03 : No new cancer diagnosis identified by the Healthcare Provider
10 : Diagnosis of new cancer confirmed - first treatment not yet planned
11 : Diagnosis of new cancer confirmed - English NHS first treatment planned
07 : Diagnosis of cancer confirmed - no English NHS treatment planned
08 : First treatment commenced (English NHS only)
12 : Diagnosis of new cancer confirmed - subsequent treatment not yet planned
13 : Diagnosis of new cancer confirmed - subsequent English NHS treatment planned
21 : Subsequent treatment commenced (English NHS only)
15 : Suspected recurrent cancer
16 : Diagnosis of recurrent cancer confirmed - first treatment not yet planned
17 : Diagnosis of recurrent cancer confirmed - English NHS first treatment planned
18 : Diagnosis of recurrent cancer confirmed - no English NHS treatment planned
19 : Diagnosis of recurrent cancer confirmed - subsequent treatment not yet planned
20 : Diagnosis of recurrent cancer confirmed - subsequent English NHS treatment planned
",CANCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS,,CR0270,Patient's notes,,1,1,1,1,1
NHIC_CAN_27,CORE,REFERRALS,CANCER SYMPTOMS FIRST NOTED DATE,"Record the time when the symptoms were first noted related to this diagnosis as agreed between the consultant and the patient.   Depending on the length of time this should normally include at least month and year. Day should also be included if known. If symptoms have been present for a long time then it may only be possible to record the year. This will normally be recorded by the consultant first seeing the patient in secondary care.

In these circumstances the Format/Length will be:
DATE (including year, month and day) - CCYY-MM-DD
    YEAR AND MONTH - YYYY-MM
    Year only - YYYY.","
",CANCER SYMPTOMS FIRST NOTED DATE,Calculated from date of visit / duration of symptoms,CR2000,Patient's notes,,1,1,1,1,1
NHIC_CAN_28,CORE,IMAGING,SITE CODE (OF IMAGING),This is the ORGANISATION SITE CODE of the Organisation  where the imaging took place.,"see ORGANISATION SITE CODE
",SITE CODE (OF IMAGING),Name shown. Code available in JCIS tables.,CR0310,Avail. with difficulty,,1,1,1,1,1
NHIC_CAN_29,CORE,IMAGING,PROCEDURE DATE (CANCER IMAGING),The DATE the Cancer Imaging was carried out.,"
",PROCEDURE DATE (CANCER IMAGING),,CR0320,Imaging DTB,,1,1,1,1,1
NHIC_CAN_30,CORE,IMAGING,IMAGING CODE (NICIP)*,"*IMAGING CODE (NICIP) 
and/or
 (CANCER IMAGING MODALITY and IMAGING ANATOMICAL SITE and ANATOMICAL SIDE (IMAGING)) 
is required.

IMAGING CODE (NICIP) is the National Interim Clinical Imaging Procedure Code Set code which is used to identify both the test modality and body site of the test.
","
",IMAGING CODE (NICIP),"See also alternative  mandatory item for non-imported radiology activities
Ie  (CANCER IMAGING MODALITY and IMAGING ANATOMICAL SITE and ANATOMICAL SIDE (IMAGING)) ",CR1610,PiLive V2,,1,1,1,1,1
NHIC_CAN_31,CORE,IMAGING,CANCER IMAGING MODALITY*,"*IMAGING CODE (NICIP) 
and/or
 (CANCER IMAGING MODALITY and IMAGING ANATOMICAL SITE and ANATOMICAL SIDE (IMAGING)) 
is required.

The type of imaging procedure used during an Imaging or Radiodiagnostic Event for a Cancer Care Spell.
NB: PET Scan also includes PET-CT Scan. 
","C01X : Standard Radiography
C01M : Mammogram
C02X : CT Scan
C02C : Virtual colonoscopy
C03X : MRI Scan
C04X : PET Scan
C05X : Ultrasound Scan
C06X : Nuclear Medicine imaging
C08A : Angiography
C08B : Barium
C08U : Urography (IV and retrograde)
C09X : Intervention radiography. 
CXXX : Other
",CANCER IMAGING MODALITY,"Name shown. 

Is imaging modality code available in look up table?",CR0330,PiLive V2,,1,1,1,1,1
NHIC_CAN_32,CORE,IMAGING,IMAGING ANATOMICAL SITE*,"*IMAGING CODE (NICIP) 
and/or
 (CANCER IMAGING MODALITY and IMAGING ANATOMICAL SITE and ANATOMICAL SIDE (IMAGING)) 
is required.

A classification of the part of the body that is the subject of an Imaging Or Radiodiagnostic Event.","The coding frame used is the OPCS-4 'Z' coding, plus two additional local codes:
Whole body CZ001
Multiple sites CZ002
","IMAGING ANATOMICAL SITE
","Typically not recorded.  Unless the ATM makes it clear what the site is, the site of imaging is not recorded. Exceptions are mammogram (site recorded as breast);BRT ultrasound - user has to record site.  
[Usage for UGI CT scan (recorded 4 times on Live patients) - is misleading usage of backend table as front end description is 'Primary tumour location' on CT scan.Findings tab].

(Findings site is recordable).",CR0340,PiLive V2,,1,1,1,1,1
NHIC_CAN_33,CORE,IMAGING,ANATOMICAL SIDE (IMAGING)*,"*IMAGING CODE (NICIP) 
and/or
 (CANCER IMAGING MODALITY and IMAGING ANATOMICAL SITE and ANATOMICAL SIDE (IMAGING)) 
is required.

The side of the body that is the subject of an Imaging or Radiodiagnostic Event.","L : Left
R : Right
M : Midline
B : Bilateral
8 : Not applicable
9 : Not Known
",ANATOMICAL SIDE (IMAGING),"Not usually recordable. 

For mammograms, value in 'Interpretation - right' &/or 'interpretation - left' will indicate which anatomical side(s) imaged.

(Finding laterality is recorded).",CR3000,N.A.,,4,4,4,4,4
NHIC_CAN_34,CORE,IMAGING,IMAGING REPORT TEXT,"This is the full text provided in the imaging report and may be required by registries to derive final stage and diagnosis date for registration. 
","
",IMAGING REPORT TEXT,,CR0160,Imaging DTB,Not always for all,1,1,1,1,1
NHIC_CAN_35,CORE,IMAGING,LESION SIZE (RADIOLOGICAL),"The size in millimetres of the maximum diameter of the primary lesion, largest if more than one.","
","
LESION SIZE (RADIOLOGICAL)
",,CR0350,Imaging DTB,Not always for all,1,1,1,1,1
NHIC_CAN_36,CORE,DIAGNOSIS,TUMOUR LATERALITY,Tumour laterality identifies the side of the body for a tumour relating to paired organs within a PATIENT.,"L : Left
R : Right
M : Midline
B : Bilateral
8 : Not applicable
9 : Not Known
",TUMOUR LATERALITY,"Definitive or Final Pre-treatment diagnosis 
(as in linkage data items)",CR0380,MDT + COPA,,1,1,1,1,1
NHIC_CAN_37,CORE,DIAGNOSIS,BASIS OF DIAGNOSIS (CANCER),This is the method used to confirm the cancer. ,"Non-microscopic
0 : Death Certificate: The only information available is from a death certificate
1 : Clinical: Diagnosis made before death but without the benefit of any of the following (2-7)
2 : Clinical Investigation: Includes all diagnostic techniques (e.g. X-rays, endoscopy, imaging, ultrasound, exploratory surgery and autopsy) without a tissue diagnosis
4 : Specific tumour markers: Includes biochemical and/or immunological markers which are specific for a tumour site
Microscopic
5 : Cytology: Examination of cells whether from a primary or secondary site, including fluids aspirated using endoscopes or needles. Also including microscopic examination of peripheral blood films and trephine bone marrow aspirates
6 : Histology of a metastasis: Histological examination of tissues from a metastasis, including autopsy specimens
7 : Histology of a primary tumour: Histological examination of tissue from the primary tumour, however obtained, including all cutting and bone marrow biopsies. Also includes autopsy specimens of a primary tumour
9 : Unknown: No information on how the diagnosis has been made (e.g. PAS or HISS record only)
",BASIS OF DIAGNOSIS (CANCER),"NOT RECORDED IN JCIS

However, may be deducible in some cases",CR0390,MDT DTB,,1,1,1,1,1
NHIC_CAN_38,CORE,DIAGNOSIS,MORPHOLOGY (SNOMED)*,"For linkage purposes MORPHOLOGY (SNOMED) 
and/or
 MORPHOLOGY (ICDO3) 
is required.

This is the PATIENT DIAGNOSIS using the SNOMED code for the cell type of the malignant disease recorded as part of a Cancer Care Spell. This can be recorded as well as or instead of MORPHOLOGY (ICD03).
","
","MORPHOLOGY (SNOMED) 
","As against definitive/FPT dx.

Name shown. Code available in JCIS tables.",CR0400,PiLive V2,,1,1,1,1,1
NHIC_CAN_39,CORE,DIAGNOSIS,MORPHOLOGY (ICDO3)*,"For linkage purposes MORPHOLOGY (SNOMED) 
and/or
 MORPHOLOGY (ICDO3) 
is required.

The morphology code for the diagnosed cancer as defined by ICDO3.  This can be recorded as well as or instead of MORPHOLOGY (SNOMED)","
",MORPHOLOGY (ICD-O),,CR0180,PiLive V2,,1,1,1,1,1
NHIC_CAN_40,CORE,DIAGNOSIS,TOPOGRAPHY (ICDO3) ,The topographical site code for the tumour as defined by ICDO3. This will normally be derived by Registries.,"
",TOPOGRAPHY (ICD-O),,CR0480,N.A.,,4,4,4,4,4
NHIC_CAN_41,CORE,DIAGNOSIS,GRADE OF DIFFERENTIATION (AT DIAGNOSIS),GRADE OF DIFFERENTIATION (AT DIAGNOSIS) is the definitive grade of the Tumour at the time of PATIENT DIAGNOSIS.,"GX : Grade of differentiation is not appropriate or cannot be assessed
G1 : Well differentiated
G2 : Moderately differentiated
G3 : Poorly differentiated
G4 : Undifferentiated / anaplastic
",GRADE OF DIFFERENTIATION (AT DIAGNOSIS),As against definitive/FPT dx.,CR0410,MDT DTB,,1,1,1,1,1
NHIC_CAN_42,CORE,DIAGNOSIS,METASTATIC SITE,"The site of the metastatic disease, if any, at diagnosis.","02 : Brain 
03 : Liver 
04 : Lung 
06 : Multiple metastatic sites 
07 : Unknown metastatic site
08 : Skin
09 : Distant lymph nodes
10 : Bone (excluding Bone Marrow)
11 : Bone marrow
99 : Other metastatic site
",METASTATIC SITE,As against definitive/FPT dx.,CR1590,Avail. with difficulty,not always recorded,1,1,1,1,1
NHIC_CAN_43,CORE,DIAGNOSIS,CANCER RECURRENCE CARE PLAN INDICATOR,An indication of whether a diagnosis of recurrence has been recorded for which a new Cancer Care Plan is required. A new record should be completed for a recurrence.,"YL : YES, INCLUDING LOCAL RECURRENCE
YD : YES,  NOT INCLUDING LOCAL RECURRENCE
NN : NO, NOT RECURRENCE
","
CANCER RECURRENCE CARE PLAN INDICATOR",,CR0450,CTIS,,1,1,1,1,1
NHIC_CAN_44,CORE,CANCER CARE PLAN,MULTIDISCIPLINARY TEAM DISCUSSION INDICATOR,An indication of whether the PATIENT's CARE PLAN was discussed at a Multidisciplinary Team Meeting.,"A : The PATIENT was discussed at a MULTIDISCIPLINARY TEAM meeting
B : The PATIENT was not discussed at a MULTIDISCIPLINARY TEAM meeting
",MULTIDISCIPLINARY TEAM DISCUSSION INDICATOR,"Established by deduction based on whether or not an MDT meeting is present on a patient pathway

MUST BE DATED",CR0420,MDT DTB,,1,1,1,1,1
NHIC_CAN_45,CORE,CANCER CARE PLAN,MULTIDISCIPLINARY TEAM DISCUSSION DATE (CANCER),The date on which the PATIENT's Cancer Care Plan was discussed at a Multidisciplinary Team Meeting and a treatment planning decision was made.,"
",MULTIDISCIPLINARY TEAM DISCUSSION DATE (CANCER),"Appropriate value in 'Overall plan intent' required, eg Curative.",CR0430,MDT DTB,,1,1,1,1,1
NHIC_CAN_46,CORE,CANCER CARE PLAN,CANCER CARE PLAN INTENT,The intention of a Cancer Care Plan developed within a Cancer Care Spell.,"C : Curative 
Z : Non Curative
X : No active treatment
9 : Not Known


",CANCER CARE PLAN INTENT,,CR0460,MDT DTB,,1,1,1,1,1
NHIC_CAN_47,CORE,CANCER CARE PLAN,PLANNED CANCER TREATMENT TYPE,"This is the clinically proposed treatment, usually agreed at a Multi Disciplinary Team Meeting, and may not be the same as the treatment which is subsequently  agreed with the patient. More than one planned treatment type may be recorded and these may either be alternative or sequential treatments.","01 : Surgery
02 : Teletherapy
03 : Chemotherapy
04 : Hormone therapy
05 : Specialist palliative care
06 : Brachytherapy
07 : Biological Therapy
10 : Other Active Treatment
11 : No active treatment
12 : Biphosphonates
13 : Anti Cancer Drug - Other
14 : Radiotherapy - Other
99 : Not Known

",PLANNED CANCER TREATMENT TYPE,,CR0470,MDT DTB,,1,1,1,1,1
NHIC_CAN_48,CORE,CANCER CARE PLAN,NO CANCER TREATMENT REASON,"The main reason why no active  cancer treatment is specified within a Cancer Care Plan. 

","01 : Patient declined treatment
02 : Unfit: poor performance status
03 : Unfit: significant co-morbidity
04 : Unfit: advanced stage cancer
05 : Unknown primary site
06 : Died before treatment
07 : No active treatment available
08 : Other
10 : Monitoring only 
99 : Not Known
",NO CANCER TREATMENT REASON,NB Will use first enrty if multiple entries present.,CR0490,MDT DTB,,1,1,1,1,1
NHIC_CAN_49,CORE,CANCER CARE PLAN,ADULT COMORBIDITY EVALUATION - 27 SCORE,"Overall Comorbidity Score is defined according to the highest ranked single ailment, except in the case where two or more Grade 2 ailments occur in different organ systems. In this situation, the overall comorbidity score should be designated Grade 3. ","0 : None
1 : Mild
2 : Moderate
3 : Severe
9 : Not Known
",ADULT COMORBIDITY EVALUATION - 27 SCORE,,CR2060,Patient's notes,,1,1,1,1,1
NHIC_CAN_50,CORE,CANCER CARE PLAN,PERFORMANCE STATUS (ADULT),"A World Health Organisation classification indicating a PERSON's status relating to activity / disability.
","0 : Able to carry out all normal activity without restriction
1 : Restricted in physically strenuous activity, but able to walk and do light work
2 : Able to walk and capable of all self care, but unable to carry out any work. Up and about more than 50% of waking hours
3 : Capable of only limited self care, confined to bed or chair more than 50% of waking hours
4 : Completely disabled. Cannot carry on any self care. Totally confined to bed or chair
9 : Not recorded
",PERFORMANCE STATUS (ADULT),,CR0510,Patient's notes,,1,1,1,1,1
NHIC_CAN_51,CORE,CANCER CARE PLAN,CLINICAL NURSE SPECIALIST INDICATION CODE,Record if and when the patient saw an appropriate site specific clinical nurse specialist. ,"Y1 : Yes, including nurse present when patient given diagnosis
Y2 : Yes, but nurse not present when patient given diagnosis
NI : No, patient not seen at all by nurse but nurse informed of diagnosis
NN : No, patient not seen at all by nurse and nurse not informed of diagnosis.
99 : Not Known
",CLINICAL NURSE SPECIALIST INDICATION CODE,"Limted to: - LGI, HPB, HNK, LNG

Contact / discussion type must be appropriate",CR2050,Patient's notes,,1,1,1,1,1
NHIC_CAN_52,CORE,CLINICAL TRIALS,PATIENT TRIAL STATUS (CANCER),An indication of whether a PATIENT who is eligible for a cancer CLINICAL TRIAL is taking part in it.,"EE : PATIENT eligible, consented to and entered trial
ED : PATIENT eligible, declined trial
",PATIENT TRIAL STATUS (CANCER),"EE would include 'Accepted' and 'Completed' values.
ED corresponds to 'Declined'.
NB 'Trial' must be completed",CR1290,MDT DTB,Sometimes on CTIS,1,1,1,1,1
NHIC_CAN_53,CORE,CLINICAL TRIALS,CANCER CLINICAL TRIAL TREATMENT TYPE,The type of treatment covered by a cancer CLINICAL TRIAL.,"1 : Surgery
2 : Chemotherapy
3 : Hormone therapy
4 : Immunotherapy
5 : Radiotherapy
6 : Combination treatment
",CANCER CLINICAL TRIAL TREATMENT TYPE,NB 'Trial' must be completed.,CR1260,MDT DTB,,1,1,1,1,1
NHIC_CAN_54,CORE,STAGING,T CATEGORY (FINAL PRETREATMENT),"This is the UICC code which classifies the size and extent of the primary tumour before treatment.
","UICC (Union International Contre Cancer) coding is used
",T CATEGORY (FINAL PRETREATMENT),NB  'Type of staging' must be selected as 'Final pre-treatment',CR0520,MDT + COPA,,1,1,1,1,1
NHIC_CAN_55,CORE,STAGING,N CATEGORY (FINAL PRETREATMENT),This is the UICC code which classifies the absence or presence and extent of regional lymph node metastases before treatment.,"UICC (Union International Contre Cancer) coding is used.
",N CATEGORY (FINAL PRETREATMENT),NB  'Type of staging' must be selected as 'Final pre-treatment',CR0540,MDT + COPA,,1,1,1,1,1
NHIC_CAN_56,CORE,STAGING,M CATEGORY (FINAL PRETREATMENT),"This is the UICC code which classifies the absence or presence of distant metastases pre treatment.  
","UICC (Union International Contre Cancer) coding is used.
",M CATEGORY (FINAL PRETREATMENT),NB  'Type of staging' must be selected as 'Final pre-treatment',CR0560,MDT + COPA,,1,1,1,1,1
NHIC_CAN_57,CORE,STAGING,TNM STAGE GROUPING (FINAL PRE TREATMENT),"Record the overall clinical TNM stage grouping of the tumour, derived from each T, N and M component prior to treatment. This classification is based on all the evidence available to the clinician(s) with responsibility for assessing the patient and for the patients treatment plan. Such evidence arises from physical examination, imaging, endoscopy, biopsy, surgical exploration and other relevant examinations. 

The overall pre-treatment TNM stage grouping indicates the tumour stage at the time the treatment plan was devised. 

